row_label_raw,row_label_full,col_0,col_1,01/01/2024,01/01/2024_1,During the year,During the year_1,31/12/2024,31/12/2024_1,numeric__col_1,numeric__01/01/2024,numeric__01/01/2024_1,numeric__During the year,numeric__During the year_1,numeric__31/12/2024,numeric__31/12/2024_1
,,,,Value,Provision,Increase,Decrease,Value,Provision,,,,,,,
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,,,,,,,
Related parties,Related parties,Related parties,Related parties,"352,540,758,352","(249,493,162,724)","64,839,913,732","38,318,145,227","379,062,526,857","(313,171,428,180)",,,,,,,
-,-,-,VRG Kien Giang MDF Wood JSC,"146,962,095,404","(146,962,095,404)","34,400,000,000",-,"181,362,095,404","(181,362,095,404)",,,,,,,
-,-,-,"Phu Rieng Kratie Rubber Co., Ltd","92,278,244,169","(92,278,244,169)",-,-,"92,278,244,169","(92,278,244,169)",,,,,,,
-,-,-,"Huong Khe Ha Tinh Rubber Co., Ltd","81,507,948,451","(10,252,823,151)",-,"7,515,602,483","73,992,345,968","(39,209,362,142)",,,,,,,
-,-,-,"Kon Tum Rubber Co., Ltd","9,334,228,714",-,"9,334,227,983","9,334,228,714","9,334,227,983",-,,,,,,,
-,-,-,"Chu Pah Rubber Co., Ltd","5,867,322,678",-,"5,778,423,901","5,867,322,678","5,778,423,901",-,,,,,,,
-,-,-,"Mang Yang Rubber Co., Ltd","4,827,111,942",-,"4,620,612,577","4,827,111,942","4,620,612,577",-,,,,,,,
-,-,-,"Chu Prong Rubber Co., Ltd","2,127,268,060",-,"2,127,268,066","2,127,268,060","2,127,268,066",-,,,,,,,
-,-,-,"Chu Se Rubber Co., Ltd","2,020,511,618",-,"2,020,511,658","2,020,511,618","2,020,511,658",-,,,,,,,
-,-,-,"Binh Thuan Rubber Co., Ltd","1,559,181,666",-,"1,559,181,666","1,559,181,666","1,559,181,666",-,,,,,,,
-,-,-,"Quang Nam Rubber Co., Ltd","1,351,884,074",-,"1,351,884,074","1,351,884,074","1,351,884,074",-,,,,,,,
-,-,-,"Ea H'Leo Rubber Co., Ltd","1,274,830,264",-,"1,274,830,273","1,274,830,264","1,274,830,273",-,,,,,,,
-,-,-,"Quang Ngai Rubber Co., Ltd","989,927,584",-,"494,963,792",-,"1,484,891,376","(321,726,465)",,,,,,,
-,-,-,"Ha Tinh Rubber Co., Ltd","989,006,650",-,"989,006,650","989,006,650","989,006,650",-,,,,,,,
-,-,-,"Krong Buk Rubber Co., Ltd","889,003,078",-,"889,003,092","889,003,078","889,003,092",-,,,,,,,
-,-,-,"Thanh Hoa Rubber Co., Ltd","562,194,000",-,-,"562,194,000",-,-,,,,,,,
Other parties,Other parties,Other parties,Other parties,"7,529,125,000","(7,529,125,000)",-,-,"7,529,125,000","(7,529,125,000)",,,,,,,
-,-,-,Rubber Securities JSC,"7,529,125,000","(7,529,125,000)",-,-,"7,529,125,000","(7,529,125,000)",,,,,,,
,,,,"360,069,883,352","(257,022,287,724)","64,839,913,732","38,318,145,227","386,591,651,857","(320,700,553,180)",,,,,,,
