row_label_raw,row_label_full,Đơn vị được đầu tư,Vốn góp của Tập đoàn,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2023,numeric__Vốn góp của Tập đoàn,numeric__Ngày 31 tháng 12 năm 2024,numeric__Ngày 31 tháng 12 năm 2023
Long Việt,Long Việt,Long Việt,29.269.440.000,27.245.370.339,27.310.933.325,29269440000.0,27245370339.0,27310933325.0
Tokio Marine Việt Nam,Tokio Marine Việt Nam,Tokio Marine Việt Nam,147.000.000.000,312.127.796.919,302.251.205.134,147000000000.0,312127796919.0,302251205134.0
Bảo Việt SCIC,Bảo Việt SCIC,Bảo Việt SCIC,70.000.000.000,72.754.474.182,72.767.163.574,70000000000.0,72754474182.0,72767163574.0
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,1.560.000.000.000,1.913.353.066.497,1.883.054.701.466,1560000000000.0,1913353066497.0,1883054701466.0
Trung Nam Phú Quốc,Trung Nam Phú Quốc,Trung Nam Phú Quốc,431.200.000.000,431.178.134.253,431.179.677.638,431200000000.0,431178134253.0,431179677638.0
PLT,PLT,PLT,97.650.000.000,128.256.999.033,127.736.361.489,97650000000.0,128256999033.0,127736361489.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.335.119.440.000,2.884.915.841.223,2.844.300.042.626,2335119440000.0,2884915841223.0,2844300042626.0
,,,,Năm nay,Năm trước,,,
Tại ngày 01 tháng 01,Tại ngày 01 tháng 01,Tại ngày 01 tháng 01,,2.844.300.042.626,2.797.034.026.188,,2844300042626.0,2797034026188.0
Cổ tức được chia trong năm,Cổ tức được chia trong năm,Cổ tức được chia trong năm,,(53.469.248.381),(54.782.928.736),,-53469248381.0,-54782928736.0
Lãi trong năm thuộc về Tập đoàn,Lãi trong năm thuộc về Tập đoàn,Lãi trong năm thuộc về Tập đoàn,,94.085.046.978,102.048.945.174,,94085046978.0,102048945174.0
Tại ngày 31 tháng 12,Tại ngày 31 tháng 12,Tại ngày 31 tháng 12,,2.884.915.841.223,2.844.300.042.626,,2884915841223.0,2844300042626.0
