row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2024 > Giá gốc,Ngày 31 tháng 12 năm 2024 > Giá trị ghi số(sau khi trích lập dự phòng),Đơn vị: VND > Giá gốc,Đơn vị: VND > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2024 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Đơn vị: VND > Giá gốc,numeric__Đơn vị: VND > Giá trị ghi số(sau khi trích lập dự phòng)
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,
Ngân hàng Thương mại Cổ phần Á Châu,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,810.611.525.339,810.611.525.339,195.205.948.900,195.205.948.900,810611525339.0,810611525339.0,195205948900.0,195205948900.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,387.723.702.616,387.723.702.616,385.553.148.914,375.383.021.926,387723702616.0,387723702616.0,385553148914.0,375383021926.0
Công ty Cổ phần Sửa Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Sửa Việt Nam,Công ty Cổ phần Sửa Việt Nam,416.101.571.597,318.775.453.600,415.458.222.493,339.448.019.227,416101571597.0,318775453600.0,415458222493.0,339448019227.0
Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,265.979.803.260,265.979.803.260,265.979.803.260,265.979.803.260,265979803260.0,265979803260.0,265979803260.0,265979803260.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,1.326.862.692.488,1.296.473.293.938,1.198.812.804.587,1.125.552.378.441,1326862692488.0,1296473293938.0,1198812804587.0,1125552378441.0
,,,3.207.279.295.300,3.079.563.778.753,2.461.009.928.154,2.301.569.171.754,3207279295300.0,3079563778753.0,2461009928154.0,2301569171754.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,
Tổng Công ty MBLand,Cổ phiếu chưa niêm yết > Tổng Công ty MBLand,Tổng Công ty MBLand,28.800.000.000,8.016.000.000,28.800.000.000,8.016.000.000,28800000000.0,8016000000.0,28800000000.0,8016000000.0
Công ty Cổ phần Thủy sản Cà Mau,Cổ phiếu chưa niêm yết > Công ty Cổ phần Thủy sản Cà Mau,Công ty Cổ phần Thủy sản Cà Mau,24.000.000.000,18.059.925.000,24.000.000.000,15.398.175.000,24000000000.0,18059925000.0,24000000000.0,15398175000.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết > Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,27.244.359.555,9.772.659.262,26.089.952.616,9.335.322.847,27244359555.0,9772659262.0,26089952616.0,9335322847.0
