row_label_raw,row_label_full,[5] Tài sản cố định vô hình tăng do,VND,numeric__VND
▶ Tăng Nguyên giá,▶ Tăng Nguyên giá,▶ Tăng Nguyên giá,171.426.900,171426900.0
▶ Tăng Giá trị hao mòn lũy kế,▶ Tăng Giá trị hao mòn lũy kế,▶ Tăng Giá trị hao mòn lũy kế,(57.907.599),-57907599.0
