row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,numeric__Giao dịch,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính,Cổ đông sáng lập > Bộ Tài chính,Bộ Tài chính,Cổ tức đã trả,(484.295.086.260),(460.314.349.200),,-484295086260.0,-460314349200.0
SCIC,Cổ đông sáng lập > SCIC,SCIC,Cổ tức đã trả,(22.236.371.280),(21.135.297.600),,-22236371280.0,-21135297600.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Doanh thu cho thuê văn phòng,488.160.000,488.160.000,,488160000.0,488160000.0
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Cổ tức đã trả,(164.552.019.057),(156.403.931.634),,-164552019057.0,-156403931634.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Doanh thu dịch vụ CNTT,1.278.889.566,1.184.356.288,,1278889566.0,1184356288.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Doanh thu lãi tiền gửi,638.913.241.406,697.466.426.521,,638913241406.0,697466426521.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,"Doanh thu cho thuê trụ sở làm việc, phí quản lý toa nhà, phí giữ xe",31.027.866.817,29.362.768.133,,31027866817.0,29362768133.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Chi phí repo và lãi vay,(454.986.196.962),(470.450.115.770),,-454986196962.0,-470450115770.0
Tokio Marine Việt Nam,"Công ty liên doanh, liên kết > Tokio Marine Việt Nam",Tokio Marine Việt Nam,Doanh thu phí quản lý quỹ,340.905.553,1.088.078.948,,340905553.0,1088078948.0
Tokio Marine Việt Nam,"Công ty liên doanh, liên kết > Tokio Marine Việt Nam",Tokio Marine Việt Nam,Cổ tức được nhận,47.169.248.381,45.332.928.736,,47169248381.0,45332928736.0
