row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển và dự phòng tài chính VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Quỹ dự trữ bắt buộc hoạt động bảo hiểm VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển và dự phòng tài chính VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Quỹ dự trữ bắt buộc hoạt động bảo hiểm VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,7.423.227.640.000,7.310.458.742.807,15.445.192.000,1.592.882.068.422,103.568.802.818,3.306.180.965.907,638.658.717.043,880.535.475.965,21.270.957.604.962,7423227640000.0,7310458742807.0,15445192000.0,1592882068422.0,103568802818.0,3306180965907.0,638658717043.0,880535475965.0,21270957604962.0
Chi trả cổ tức cho cổ đông Trích quỹ khen thưởng phúc lợi,Chi trả cổ tức cho cổ đông Trích quỹ khen thưởng phúc lợi,Chi trả cổ tức cho cổ đông Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(708.175.916.856),-,-,(708.175.916.856),,,,,,-708175916856.0,,,-708175916856.0
Chi trả cổ tức cho cổ đông Trích quỹ khen thưởng phúc lợi,Chi trả cổ tức cho cổ đông Trích quỹ khen thưởng phúc lợi,Chi trả cổ tức cho cổ đông Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(112.233.944.515),-,(4.282.571.952),(116.516.516.467),,,,,,-112233944515.0,,-4282571952.0,-116516516467.0
Của Công ty mẹ,Của Công ty mẹ,Của Công ty mẹ,-,-,-,-,-,(37.748.127.469),-,-,(37.748.127.469),,,,,,-37748127469.0,,,-37748127469.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(74.485.817.046),-,(4.282.571.952),(78.768.388.998),,,,,,-74485817046.0,,-4282571952.0,-78768388998.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,650.635.326.052,-,(650.635.326.052),-,-,-,,,,650635326052.0,,-650635326052.0,,,
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,319.677.901.150,-,(319.677.901.150),-,-,-,,,,319677901150.0,,-319677901150.0,,,
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,330.957.424.902,-,(330.957.424.902),-,-,-,,,,330957424902.0,,-330957424902.0,,,
Chi thủ lao Hội đồng thành viên và Kiểm soát viên của các Công ty con,Chi thủ lao Hội đồng thành viên và Kiểm soát viên của các Công ty con,Chi thủ lao Hội đồng thành viên và Kiểm soát viên của các Công ty con,-,-,-,-,-,(2.780.395.552),-,(856.514.390),(3.636.909.942),,,,,,-2780395552.0,,-856514390.0,-3636909942.0
Chi trả cổ tức cho cổ đông không kiểm soát,Chi trả cổ tức cho cổ đông không kiểm soát,Chi trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,-,(32.125.505.064),(32.125.505.064),,,,,,,,-32125505064.0,-32125505064.0
Lợi nhuận tăng trong năm (Giảm)/Trích lập các quỹ dự trữ,Lợi nhuận tăng trong năm (Giảm)/Trích lập các quỹ dự trữ,Lợi nhuận tăng trong năm (Giảm)/Trích lập các quỹ dự trữ,-,-,-,-,-,1.805.317.054.880,-,75.985.937.414,1.881.302.992.294,,,,,,1805317054880.0,,75985937414.0,1881302992294.0
Lợi nhuận tăng trong năm (Giảm)/Trích lập các quỹ dự trữ,Lợi nhuận tăng trong năm (Giảm)/Trích lập các quỹ dự trữ,Lợi nhuận tăng trong năm (Giảm)/Trích lập các quỹ dự trữ,-,-,-,(10.000.000.000),-,(60.652.360.742),70.652.360.742,-,-,,,,-10000000000.0,,-60652360742.0,70652360742.0,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,,-,(11.174.576.485),-,(294.315.237),(11.468.891.722),,,,,,-11174576485.0,,-294315237.0,-11468891722.0
Tại ngày 31/12/2023(trình bày lại),Tại ngày 31/12/2023(trình bày lại),Tại ngày 31/12/2023(trình bày lại),7.423.227.640.000,7.310.458.742.807,15.445.192.000,2.233.517.394.474,103.568.802.818,3.565.845.500.585,709.311.077.785,918.962.506.736,22.280.336.857.205,7423227640000.0,7310458742807.0,15445192000.0,2233517394474.0,103568802818.0,3565845500585.0,709311077785.0,918962506736.0,22280336857205.0
