row_label_raw,row_label_full,col_0,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 (trình bày lại) VND,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 (trình bày lại) VND
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,18.1,679.647.517.367,702.914.810.505,181.0,679647517367.0,702914810505.0
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,3.711.688.916,291.184.583,,3711688916.0,291184583.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,683.359.206.283,703.205.995.088,,683359206283.0,703205995088.0
