row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024VND,Ngày 31 tháng 12năm 2023(trình bày lại)VND,numeric__Ngày 31 tháng 12năm 2024VND,numeric__Ngày 31 tháng 12năm 2023(trình bày lại)VND
Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,,
Bảo hiểm nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,974.913.411.790,885.994.161.469,974913411790.0,885994161469.0
Phải trả bồi thường và trả tiền bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả bồi thường và trả tiền bảo hiểm,Phải trả bồi thường và trả tiền bảo hiểm,252.145.529.679,249.864.098.535,252145529679.0,249864098535.0
Phải trả thu nhập đại lý,Phải trả hoạt động bảo hiểm > Phải trả thu nhập đại lý,Phải trả thu nhập đại lý,721.168.125.426,633.210.329.179,721168125426.0,633210329179.0
Phải trả phí nhượng tái bảo hiểm nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả phí nhượng tái bảo hiểm nhân thọ,Phải trả phí nhượng tái bảo hiểm nhân thọ,1.599.756.685,2.919.733.755,1599756685.0,2919733755.0
Bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,1.395.480.202.358,1.608.310.591.611,1395480202358.0,1608310591611.0
Phải trả hoa hồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả hoa hồng bảo hiểm,Phải trả hoa hồng bảo hiểm,92.969.799.495,108.838.374.776,92969799495.0,108838374776.0
Phải trả hoạt động bảo hiểm gốc phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả hoạt động bảo hiểm gốc phi nhân thọ,Phải trả hoạt động bảo hiểm gốc phi nhân thọ,294.889.736.666,188.801.919.795,294889736666.0,188801919795.0
Phải trả nhận tái bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhận tái bảo hiểm phi nhân thọ,Phải trả nhận tái bảo hiểm phi nhân thọ,54.675.260.308,64.671.990.152,54675260308.0,64671990152.0
Phải trả nhượng tái bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhượng tái bảo hiểm phi nhân thọ,Phải trả nhượng tái bảo hiểm phi nhân thọ,835.529.842.757,1.072.427.750.914,835529842757.0,1072427750914.0
Phải trả đồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả đồng bảo hiểm,Phải trả đồng bảo hiểm,117.415.563.132,173.570.555.974,117415563132.0,173570555974.0
,,,2.370.393.614.148,2.494.304.753.080,2370393614148.0,2494304753080.0
Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,,
"Phải trả người bán, nhà cung cấp","Phải trả người bán và nhà cung cấp dịch vụ > Phải trả người bán, nhà cung cấp","Phải trả người bán, nhà cung cấp",62.789.515.760,42.042.844.095,62789515760.0,42042844095.0
Phải trả khác,Phải trả người bán và nhà cung cấp dịch vụ > Phải trả khác,Phải trả khác,779.356.827,658.129.274,779356827.0,658129274.0
,,,63.568.872.587,42.700.973.369,63568872587.0,42700973369.0
TỔNG CỘNG,Phải trả người bán và nhà cung cấp dịch vụ > TỔNG CỘNG,TỔNG CỘNG,2.433.962.486.735,2.537.005.726.449,2433962486735.0,2537005726449.0
