row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Ngày 31 tháng 12năm 2024,Ngày 31 tháng 12năm 2023,numeric__CHỈ TIÊU_1,numeric__Ngày 31 tháng 12năm 2024,numeric__Ngày 31 tháng 12năm 2023
1.,1.,1.,Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),572.671.146.383,176.359.858.073,,572671146383.0,176359858073.0
2.,2.,2.,Nợ khó đòi đã xử lý (VND),154.126.739.670,132.178.081.950,,154126739670.0,132178081950.0
3.,3.,3.,Ngoại tệ (USD),1.182.193,1.365.625,,1182193.0,1365625.0
4.,4.,4.,Chứng khoán lưu ký (VND),31.484.227.312.000,26.873.541.429.900,,31484227312000.0,26873541429900.0
5.,5.,5.,Chứng khoán chưa lưu ký (VND),1.153.171.522.900,1.237.613.480.000,,1153171522900.0,1237613480000.0
6.,6.,6.,Tiền gửi của nhà đầu tư ủy thác (VND),939.332.428.229,1.093.321.737.987,,939332428229.0,1093321737987.0
7.,7.,7.,Danh mục đầu tư của nhà đầu tư ủy thác (VND),254.898.389.400,237.172.629.700,,254898389400.0,237172629700.0
8.,8.,8.,Các khoản phải thu của nhà đầu tư ủy thác (VND),6.951.543.152,12.429.557.534,,6951543152.0,12429557534.0
9.,9.,9.,Các khoản phải trả của nhà đầu tư ủy thác (VND),(938.883.595.003),(1.095.623.908.837),,-938883595003.0,-1095623908837.0
10.,10.,10.,"Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)",2.519.762.264.225,2.391.605.068.491,,2519762264225.0,2391605068491.0
