row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023(trình bày lại),Chưa quá hạn vàkhông giảm giá trị,Quá hạn nhungkhông giảm giá trịriêng lẻ,Bị giảm giá trịriêng lẻ (*),Đơn vị: triệu VNDTổng,numeric__Chưa quá hạn vàkhông giảm giá trị,numeric__Quá hạn nhungkhông giảm giá trịriêng lẻ,numeric__Bị giảm giá trịriêng lẻ (*),numeric__Đơn vị: triệu VNDTổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.783.514,-,-,4.783.514,4783514.0,,,4783514.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,666.681,64.716,13.043,744.440,666681.0,64716.0,13043.0,744440.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,561.585,17.304,2.591,581.480,561585.0,17304.0,2591.0,581480.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.009.182,-,-,3.009.182,3009182.0,,,3009182.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,107.736,-,-,107.736,107736.0,,,107736.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",87.893,-,-,87.893,87893.0,,,87893.0
- Phải thu cổ tức,TÀI SẢN > - Phải thu cổ tức,- Phải thu cổ tức,19.843,-,-,19.843,19843.0,,,19843.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,193.968.169,-,-,193.968.169,193968169.0,,,193968169.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,112.616.034,-,-,112.616.034,112616034.0,,,112616034.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,81.352.135,-,-,81.352.135,81352135.0,,,81352135.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,442.586,-,-,442.586,442586.0,,,442586.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,442.586,-,-,442.586,442586.0,,,442586.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,7.576.707,-,-,7.576.707,7576707.0,,,7576707.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,(517.170),-,486.043,(31.127),-517170.0,,486043.0,-31127.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,210.598.990,82.020,501.677,211.182.687,210598990.0,82020.0,501677.0,211182687.0
