row_label_raw,row_label_full,col_0,Dự phòng toán học VND,Dự phòng phí chưa được hưởng VND,Dự phòng bởi thường VND,Dự phòng chia lãi VND,Dự phòng lãi cam kết đầu tư tối thiểu VND,Dự phòng đảm bảo cân đối VND,Dự phòng dao động lớn VND,Tổng cộng VND,numeric__Dự phòng toán học VND,numeric__Dự phòng phí chưa được hưởng VND,numeric__Dự phòng bởi thường VND,numeric__Dự phòng chia lãi VND,numeric__Dự phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dự phòng đảm bảo cân đối VND,numeric__Dự phòng dao động lớn VND,numeric__Tổng cộng VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,,
Ngày 31/12/2023(trình bày lại),Bảo hiểm nhân thọ > Ngày 31/12/2023(trình bày lại),Ngày 31/12/2023(trình bày lại),142.699.299.755.806,230.063.954.293,97.212.291.288,2.993.884.034.680,13.659.830.062.518,143.550.405.350,-,159.823.840.503.935,142699299755806.0,230063954293.0,97212291288.0,2993884034680.0,13659830062518.0,143550405350.0,,159823840503935.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,14.449.285.268.595,12.467.198.562,(28.594.633.534),527.118.564.278,3.081.906.630.621,18.698.867.118,-,18.060.881.895.640,14449285268595.0,12467198562.0,-28594633534.0,527118564278.0,3081906630621.0,18698867118.0,,18060881895640.0
Ngày 31/12/2024,Bảo hiểm nhân thọ > Ngày 31/12/2024,Ngày 31/12/2024,157.148.585.024.401,242.531.152.855,68.617.657.754,3.521.002.598.958,16.741.736.693.139,162.249.272.468,-,177.884.722.399.575,157148585024401.0,242531152855.0,68617657754.0,3521002598958.0,16741736693139.0,162249272468.0,,177884722399575.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,,,,,,,
Ngày 31/12/2023(trình bày lại),Bảo hiểm phi nhân thọ > Ngày 31/12/2023(trình bày lại),Ngày 31/12/2023(trình bày lại),-,5.082.078.886.449,2.533.672.231.489,-,-,158.304.693.710,135.582.178.616,7.909.637.990.264,,5082078886449.0,2533672231489.0,,,158304693710.0,135582178616.0,7909637990264.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,-,127.198.323.922,509.494.795.207,-,-,91.721.490.089,51.325.477.527,779.740.086.745,,127198323922.0,509494795207.0,,,91721490089.0,51325477527.0,779740086745.0
Ngày 31/12/2024,Bảo hiểm phi nhân thọ > Ngày 31/12/2024,Ngày 31/12/2024,-,5.209.277.210.371,3.043.167.026.696,-,-,250.026.183.799,186.907.656.143,8.689.378.077.009,,5209277210371.0,3043167026696.0,,,250026183799.0,186907656143.0,8689378077009.0
Ngày 31/12/2023(trình bày lại),Bảo hiểm phi nhân thọ > Ngày 31/12/2023(trình bày lại),Ngày 31/12/2023(trình bày lại),142.699.299.755.806,5.312.142.840.742,2.630.884.522.777,2.993.884.034.680,13.659.830.062.518,301.855.099.060,135.582.178.616,167.733.478.494.199,142699299755806.0,5312142840742.0,2630884522777.0,2993884034680.0,13659830062518.0,301855099060.0,135582178616.0,167733478494199.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,14.449.285.268.595,139.665.522.484,480.900.161.673,527.118.564.278,3.081.906.630.621,110.420.357.207,51.325.477.527,18.840.621.982.385,14449285268595.0,139665522484.0,480900161673.0,527118564278.0,3081906630621.0,110420357207.0,51325477527.0,18840621982385.0
Ngày 31/12/2024,Bảo hiểm phi nhân thọ > Ngày 31/12/2024,Ngày 31/12/2024,157.148.585.024.401,5.451.808.363.226,3.111.784.684.450,3.521.002.598.958,16.741.736.693.139,412.275.456.267,186.907.656.143,186.574.100.476.584,157148585024401.0,5451808363226.0,3111784684450.0,3521002598958.0,16741736693139.0,412275456267.0,186907656143.0,186574100476584.0
