row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 (trình bày lại) VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 (trình bày lại) VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Chi trả đáo hạn,Bảo hiểm nhân thọ > Chi trả đáo hạn,Chi trả đáo hạn,2.980.154.932.934,2.208.586.722.051,2980154932934.0,2208586722051.0
Chi giá trị hoàn lại,Bảo hiểm nhân thọ > Chi giá trị hoàn lại,Chi giá trị hoàn lại,9.182.388.726.257,9.742.224.406.762,9182388726257.0,9742224406762.0
Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,Bảo hiểm nhân thọ > Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,2.901.953.612.989,2.753.118.427.044,2901953612989.0,2753118427044.0
,,,15.064.497.272.180,14.703.929.555.857,15064497272180.0,14703929555857.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,436.901.141.829,292.763.418.482,436901141829.0,292763418482.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,1.447.548.392.202,1.784.542.798.297,1447548392202.0,1784542798297.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,2.765.428.749.237,2.820.033.978.172,2765428749237.0,2820033978172.0
,,,4.649.878.283.268,4.897.340.194.951,4649878283268.0,4897340194951.0
TỔNG CỘNG,Bảo hiểm phi nhân thọ > TỔNG CỘNG,TỔNG CỘNG,19.714.375.555.448,19.601.269.750.808,19714375555448.0,19601269750808.0
