row_label_raw,row_label_full,col_0,Bảo hiểmphi nhân thọ(trình bày lại)VND,numeric__Bảo hiểmphi nhân thọ(trình bày lại)VND
Số đầu năm,Số đầu năm,Số đầu năm,320.410.877.616,320410877616.0
Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,741.292.140.802,741292140802.0
Thu hoa hồng nhượng tái bảo hiểm - Phân bổ vào doanh thu trong năm,Thu hoa hồng nhượng tái bảo hiểm - Phân bổ vào doanh thu trong năm,Thu hoa hồng nhượng tái bảo hiểm - Phân bổ vào doanh thu trong năm,(679.647.517.367),-679647517367.0
Số cuối năm,Số cuối năm,Số cuối năm,382.055.501.051,382055501051.0
