row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản và hoạtđộng khác,Các búttoán điều chỉnhhợp nhất,Tổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản và hoạtđộng khác,numeric__Các búttoán điều chỉnhhợp nhất,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,42.672.744,-,-,(3.062),42.669.682,42672744.0,,,-3062.0,42669682.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(3.543.498),-,-,-,(3.543.498),-3543498.0,,,,-3543498.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,700.755,-,-,(3.763),696.992,700755.0,,,-3763.0,696992.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,39.830.001,-,-,(6.825),39.823.176,39830001.0,,,-6825.0,39823176.0
Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,(19.714.376),-,-,-,(19.714.376),-19714376.0,,,,-19714376.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,(66.271),-,-,-,(66.271),-66271.0,,,,-66271.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,2.212,-,-,-,2.212,2212.0,,,,2212.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,1.185.990,-,-,-,1.185.990,1185990.0,,,,1185990.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(18.168.731),-,-,-,(18.168.731),-18168731.0,,,,-18168731.0
Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,(480.900),-,-,-,(480.900),-480900.0,,,,-480900.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,580.130,-,-,-,580.130,580130.0,,,,580130.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,(51.325),-,-,-,(51.325),-51325.0,,,,-51325.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(4.137.785),-,-,58.768,(4.079.017),-4137785.0,,,58768.0,-4079017.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(40.851.056),-,-,58.768,(40.792.288),-40851056.0,,,58768.0,-40792288.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,533.831,24.309,(548.149),9.991,,533831.0,24309.0,-548149.0,9991.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(1.346.799),-,-,-,(1.346.799),-1346799.0,,,,-1346799.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(5.336.082),(742.468),(18.126),372.076,(5.724.600),-5336082.0,-742468.0,-18126.0,372076.0,-5724600.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,9.867.901,1.992.749,8.644,(1.295.699),10.573.595,9867901.0,1992749.0,8644.0,-1295699.0,10573595.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,50.430,438,(660),(24.197),26.011,50430.0,438.0,-660.0,-24197.0,26011.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,94.085,94.085,,,,94085.0,94085.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,2.214.395,1.784.550,14.167,(1.349.941),2.663.171,2214395.0,1784550.0,14167.0,-1349941.0,2663171.0
