row_label_raw,row_label_full,[8] Vốn chủ sở hữu tăng do:,[8] Vốn chủ sở hữu tăng do:_1,VND,numeric__[8] Vốn chủ sở hữu tăng do:_1,numeric__VND
Tăng Lợi nhuận sau thuế chưa phân phối theo điều chỉnh tại Báo cáo kết quả kinh doanh hợp nhất,Tăng Lợi nhuận sau thuế chưa phân phối theo điều chỉnh tại Báo cáo kết quả kinh doanh hợp nhất,Tăng Lợi nhuận sau thuế chưa phân phối theo điều chỉnh tại Báo cáo kết quả kinh doanh hợp nhất,Tăng Lợi nhuận sau thuế chưa phân phối theo điều chỉnh tại Báo cáo kết quả kinh doanh hợp nhất,19.756.818.697,,19756818697.0
Tăng Quỹ dự trữ bắt buộc hoạt động bảo hiểm,Tăng Quỹ dự trữ bắt buộc hoạt động bảo hiểm,Tăng Quỹ dự trữ bắt buộc hoạt động bảo hiểm,Tăng Quỹ dự trữ bắt buộc hoạt động bảo hiểm,699.194.776,,699194776.0
Tăng Lợi ích cổ đông không kiểm soát,Tăng Lợi ích cổ đông không kiểm soát,Tăng Lợi ích cổ đông không kiểm soát,Tăng Lợi ích cổ đông không kiểm soát,857.734.650,,857734650.0
