row_label_raw,row_label_full,[2] Tài sản ngắn hạn khác tăng do:,VND,numeric__VND
Tăng Chi phí trả trước ngắn hạn,Tăng Chi phí trả trước ngắn hạn,Tăng Chi phí trả trước ngắn hạn,3.649.815.141,3649815141.0
Giảm Thuế và các khoản phải thu Nhà nước,Giảm Thuế và các khoản phải thu Nhà nước,Giảm Thuế và các khoản phải thu Nhà nước,(192.356.787),-192356787.0
