row_label_raw,row_label_full,col_0,Nhà cửa VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,-,-,,
- Chuyển từ tài sản cố định,Ngày 31 tháng 12 năm 2023 > - Chuyển từ tài sản cố định,- Chuyển từ tài sản cố định,145.938.240.874,145.938.240.874,145938240874.0,145938240874.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2023 > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,145.938.240.874,145.938.240.874,145938240874.0,145938240874.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,-,-,,
- Chuyển từ tài sản cố định,Ngày 31 tháng 12 năm 2023 > - Chuyển từ tài sản cố định,- Chuyển từ tài sản cố định,75.528.434.308,75.528.434.308,75528434308.0,75528434308.0
- Hao mòn trong năm,Ngày 31 tháng 12 năm 2023 > - Hao mòn trong năm,- Hao mòn trong năm,5.837.529.627,5.837.529.627,5837529627.0,5837529627.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2023 > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,81.365.963.935,81.365.963.935,81365963935.0,81365963935.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,-,-,,
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2023 > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,64.572.276.939,64.572.276.939,64572276939.0,64572276939.0
