row_label_raw,row_label_full,Mã số,TÀI SẢN,Diễn giải,Ngày 31 tháng 12 năm 2023 (số liệu đã trình bày),Điều chỉnh,Ngày 31 tháng 12 năm 2023 (trình bày lại),numeric__TÀI SẢN,numeric__Diễn giải,numeric__Ngày 31 tháng 12 năm 2023 (số liệu đã trình bày),numeric__Điều chỉnh,numeric__Ngày 31 tháng 12 năm 2023 (trình bày lại)
200,200,200,TÀI SẢN DÀI HẠN,,98.703.426.370.373,3.104.904.975,98.706.531.275.348,,,98703426370373.0,3104904975.0,98706531275348.0
220,220,220,Tài sản cố định,,1.815.502.401.731,1.653.661.001,1.817.156.062.732,,,1815502401731.0,1653661001.0,1817156062732.0
221,221,221,Tài sản cố định hữu hình,[4],956.525.029.065,1.540.141.700,958.065.170.765,,,956525029065.0,1540141700.0,958065170765.0
222,222,222,Nguyên giá,,2.770.273.675.187,2.177.980.102,2.772.451.655.289,,,2770273675187.0,2177980102.0,2772451655289.0
223,223,223,Giá trị khấu hao luỹ kế,,(1.813.748.646.122),(637.838.402),(1.814.386.484.524),,,-1813748646122.0,-637838402.0,-1814386484524.0
227,227,227,Tài sản cố định vô hình,[5],858.977.372.666,113.519.301,859.090.891.967,,,858977372666.0,113519301.0,859090891967.0
228,228,228,Nguyên giá,,1.580.705.169.207,171.426.900,1.580.876.596.107,,,1580705169207.0,171426900.0,1580876596107.0
229,229,229,Giá trị hao mòn luỹ kế,,(721.727.796.541),(57.907.599),(721.785.704.140),,,-721727796541.0,-57907599.0,-721785704140.0
240,240,240,Tài sản dở dang dài hạn,,374.587.590.582,(660.868.214),373.926.722.368,,,374587590582.0,-660868214.0,373926722368.0
242,242,242,Chi phí xây dựng cơ bản dở dang,,374.587.590.582,(660.868.214),373.926.722.368,,,374587590582.0,-660868214.0,373926722368.0
260,260,260,Tài sản dài hạn khác,,182.836.911.108,2.112.112.188,184.949.023.296,,,182836911108.0,2112112188.0,184949023296.0
261,261,261,Chi phí trả trước dài hạn,,149.510.887.437,2.112.112.188,151.622.999.625,,,149510887437.0,2112112188.0,151622999625.0
270,270,270,TỔNG CỘNG TÀI SẢN,,221.101.602.593.651,58.220.473.545,221.159.823.067.196,,,221101602593651.0,58220473545.0,221159823067196.0
