row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023(trình bày lại),Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản và hoạtđộng khác,Các bút toán điềuchính hợp nhất,Đơn vị: triệu đồngTổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản và hoạtđộng khác,numeric__Các bút toán điềuchính hợp nhất,numeric__Đơn vị: triệu đồngTổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,42.670.109,-,-,(2.969),42.667.140,42670109.0,,,-2969.0,42667140.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(3.319.163),-,-,-,(3.319.163),-3319163.0,,,,-3319163.0
Hoa hống nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,Hoa hống nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,Hoa hống nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,745.458,-,-,(7.956),737.502,745458.0,,,-7956.0,737502.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,40.096.404,-,-,(10.925),40.085.479,40096404.0,,,-10925.0,40085479.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(19.601.270),-,-,-,(19.601.270),-19601270.0,,,,-19601270.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,(81.417),-,-,-,(81.417),-81417.0,,,,-81417.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,1.247,-,-,-,1.247,1247.0,,,,1247.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,1.273.430,-,-,-,1.273.430,1273430.0,,,,1273430.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(20.007.940),-,-,-,(20.007.940),-20007940.0,,,,-20007940.0
Giảm dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,Giảm dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,Giảm dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,82.827,-,-,-,82.827,82827.0,,,,82827.0
Giảm dự phòng bồi thường nhượng tái bảo hiểm,Giảm dự phòng bồi thường nhượng tái bảo hiểm,Giảm dự phòng bồi thường nhượng tái bảo hiểm,(95.435),-,-,-,(95.435),-95435.0,,,,-95435.0
Tăng dự phòng dao động lớn,Tăng dự phòng dao động lớn,Tăng dự phòng dao động lớn,(109.240),-,-,-,(109.240),-109240.0,,,,-109240.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(4.155.559),-,-,75.559,(4.080.000),-4155559.0,,,75559.0,-4080000.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(42.693.357),-,-,75.559,(42.617.798),-42693357.0,,,75559.0,-42617798.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,473.743,25.482,(508.246),(9.021),,473743.0,25482.0,-508246.0,-9021.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(1.094.026),-,-,-,(1.094.026),-1094026.0,,,,-1094026.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(4.591.419),(677.553),(19.725),333.628,(4.955.069),-4591419.0,-677553.0,-19725.0,333628.0,-4955069.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,9.961.923,1.902.414,7.964,(1.155.833),10.716.468,9961923.0,1902414.0,7964.0,-1155833.0,10716468.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,61.687,(124),(182),(26.032),35.349,61687.0,-124.0,-182.0,-26032.0,35349.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,102.049,102.049,,,,102049.0,102049.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.741.212,1.698.480,13.539,(1.189.800),2.263.431,1741212.0,1698480.0,13539.0,-1189800.0,2263431.0
