row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2024 VND,Ngày 31 tháng 12 năm 2023 VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2024 VND,numeric__Ngày 31 tháng 12 năm 2023 VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,14.1,,,141.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,3.207.279.295.300,2.461.009.928.154,,3207279295300.0,2461009928154.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,80.044.359.555,78.889.952.616,,80044359555.0,78889952616.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,291.879.903.606,284.364.612.640,,291879903606.0,284364612640.0
Trái phiếu,Trái phiếu,Trái phiếu,,81.164.953.403,442.586.048.464,,81164953403.0,442586048464.0
,,,,3.660.368.511.864,3.266.850.541.874,,3660368511864.0,3266850541874.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,,(202.979.291.840),(206.056.858.118),,-202979291840.0,-206056858118.0
,,,,3.457.389.220.024,3.060.793.683.756,,3457389220024.0,3060793683756.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,14.2,,,142.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,100.440.649.810.502,98.504.995.982.976,,100440649810502.0,98504995982976.0
- Tiền gửi,- Tiền gửi,- Tiền gửi,,96.311.405.314.136,94.682.196.419.640,,96311405314136.0,94682196419640.0
- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,,4.129.244.496.366,3.822.799.563.336,,4129244496366.0,3822799563336.0
Dài hạn,Dài hạn,Dài hạn,,123.543.648.618.749,92.307.217.397.763,,123543648618749.0,92307217397763.0
- Tiền gửi,- Tiền gửi,- Tiền gửi,,28.255.853.641.765,13.269.018.409.164,,28255853641765.0,13269018409164.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,95.287.794.976.984,79.038.198.988.599,,95287794976984.0,79038198988599.0
,,,,223.984.298.429.251,190.812.213.380.739,,223984298429251.0,190812213380739.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,14.3,,,143.0,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",14.3.1,2.884.915.841.223,2.844.300.042.626,1431.0,2884915841223.0,2844300042626.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,14.3.2,1.279.365.243.151,1.140.403.742.807,1432.0,1279365243151.0,1140403742807.0
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,,(62.506.533.483),(91.181.033.263),,-62506533483.0,-91181033263.0
,,,,4.101.774.550.891,3.893.522.752.170,,4101774550891.0,3893522752170.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,231.543.462.200.166,197.766.529.816.665,,231543462200166.0,197766529816665.0
