row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2024 > Giá gốc,Ngày 31 tháng 12 năm 2024 > Giá trị ghi số,Ngày 31 tháng 12 năm 2023 > Giá gốc,Ngày 31 tháng 12 năm 2023 > Giá trị ghi số,numeric__Ngày 31 tháng 12 năm 2024 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị ghi số,numeric__Ngày 31 tháng 12 năm 2023 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2023 > Giá trị ghi số
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),96.754.005.314.136,96.311.405.314.136,95.124.796.419.640,94.682.196.419.640,96754005314136.0,96311405314136.0,95124796419640.0,94682196419640.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,1.024.752.316.500,-,1.024.752.316.500,-,1024752316500.0,,1024752316500.0,
- Trái phiếu doanh nghiệp,Ngắn hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,1.024.752.316.500,-,1.024.752.316.500,-,1024752316500.0,,1024752316500.0,
Tạm ứng từ giá trị hoàn lại (iv),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (iv),Tạm ứng từ giá trị hoàn lại (iv),4.129.244.496.366,4.129.244.496.366,3.822.799.563.336,3.822.799.563.336,4129244496366.0,4129244496366.0,3822799563336.0,3822799563336.0
,,,101.908.002.127.002,100.440.649.810.502,99.972.348.299.476,98.504.995.982.976,101908002127002.0,100440649810502.0,99972348299476.0,98504995982976.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),28.255.853.641.765,28.255.853.641.765,13.269.018.409.164,13.269.018.409.164,28255853641765.0,28255853641765.0,13269018409164.0,13269018409164.0
Trái phiếu (iii),Dài hạn > Trái phiếu (iii),Trái phiếu (iii),95.287.794.976.984,95.287.794.976.984,79.038.198.988.599,79.038.198.988.599,95287794976984.0,95287794976984.0,79038198988599.0,79038198988599.0
- Trái phiếu doanh nghiệp,Dài hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,26.291.302.944.892,26.291.302.944.892,16.958.992.986.301,16.958.992.986.301,26291302944892.0,26291302944892.0,16958992986301.0,16958992986301.0
- Trái phiếu Chính phủ,Dài hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,68.996.492.032.092,68.996.492.032.092,62.079.206.002.298,62.079.206.002.298,68996492032092.0,68996492032092.0,62079206002298.0,62079206002298.0
,,,123.543.648.618.749,123.543.648.618.749,92.307.217.397.763,92.307.217.397.763,123543648618749.0,123543648618749.0,92307217397763.0,92307217397763.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,225.451.650.745.751,223.984.298.429.251,192.279.565.697.239,190.812.213.380.739,225451650745751.0,223984298429251.0,192279565697239.0,190812213380739.0
