row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2023(trình bày lại)VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2023(trình bày lại)VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,2.663.171.477.296,2.263.431.525.645,2663171477296.0,2263431525645.0
Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,,
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,,,,
- Hoa hồng dự trả ước tính năm nay,Các khoản điều chỉnh tăng > - Hoa hồng dự trả ước tính năm nay,- Hoa hồng dự trả ước tính năm nay,22.147.159.880,39.897.800.187,22147159880.0,39897800187.0
- Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,Các khoản điều chỉnh tăng > - Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,- Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,9.028.949.820,24.203.041.102,9028949820.0,24203041102.0
- Chi phí không hợp lệ cho mục đích tính thuế,Các khoản điều chỉnh tăng > - Chi phí không hợp lệ cho mục đích tính thuế,- Chi phí không hợp lệ cho mục đích tính thuế,44.479.556.669,33.296.818.535,44479556669.0,33296818535.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,,
"- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm > - Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia",(281.376.783.279),(169.375.310.172),-281376783279.0,-169375310172.0
- Hoàn nhập hoa hồng dự trả ước tính năm trước,Các khoản điều chỉnh giảm > - Hoàn nhập hoa hồng dự trả ước tính năm trước,- Hoàn nhập hoa hồng dự trả ước tính năm trước,(39.897.800.187),(39.637.427.790),-39897800187.0,-39637427790.0
- Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,Các khoản điều chỉnh giảm > - Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,- Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,(13.667.368.458),(9.034.546.020),-13667368458.0,-9034546020.0
