row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023(trình bày lại),Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản và hoạtđộng khác,Các bút toándiều chínhhợp nhất,Đơn vị: triệu đồngTổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản và hoạtđộng khác,numeric__Các bút toándiều chínhhợp nhất,numeric__Đơn vị: triệu đồngTổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.000.200,2.757.907,23.254,1.002.153,4.783.514,1000200.0,2757907.0,23254.0,1002153.0,4783514.0
Các khoản phải thu từ hoạt động táibảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động táibảo hiểm,Các khoản phải thu từ hoạt động táibảo hiểm,591.224,-,-,-,591.224,591224.0,,,,591224.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,859.507,-,-,-,859.507,859507.0,,,,859507.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.009.182,-,-,-,3.009.182,3009182.0,,,,3009182.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,7.709.066,1.362.096,54.830,(1.421.795),7.704.197,7709066.0,1362096.0,54830.0,-1421795.0,7704197.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,191.907.655,17.472.790,97.300,(11.711.215),197.766.530,191907655.0,17472790.0,97300.0,-11711215.0,197766530.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,-,3.234.935,-,15.729,3.250.664,,3234935.0,,15729.0,3250664.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,634.198,249.046,51.109,23.712,958.065,634198.0,249046.0,51109.0,23712.0,958065.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,593.365,251.086,14.640,-,859.091,593365.0,251086.0,14640.0,,859091.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,974.926,346.664,103.366,(47.107),1.377.849,974926.0,346664.0,103366.0,-47107.0,1377849.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,207.279.323,25.674.524,344.499,(12.138.523),221.159.823,207279323.0,25674524.0,344499.0,-12138523.0,221159823.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,
Nợ ngắn hạn,NỘ PHẢI TRẢ > Nợ ngắn hạn,Nợ ngắn hạn,27.049.251,3.995.711,49.366,(243.313),30.851.015,27049251.0,3995711.0,49366.0,-243313.0,30851015.0
Nợ dài hạn,NỘ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,168.008.909,30.463,18.657,(29.558),168.028.471,168008909.0,30463.0,18657.0,-29558.0,168028471.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,195.058.160,4.026.174,68.023,(272.871),198.879.486,195058160.0,4026174.0,68023.0,-272871.0,198879486.0
NGUỒN VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,12.221.163,21.648.350,276.476,(11.865.652),22.280.337,12221163.0,21648350.0,276476.0,-11865652.0,22280337.0
TỔNG NGUỒN VỐN,NỘ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,207.279.323,25.674.524,344.499,(12.138.523),221.159.823,207279323.0,25674524.0,344499.0,-12138523.0,221159823.0
