row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023(trình bày lại),Quá hạn,Không xác định ký hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Tổng cộng,numeric__Quá hạn,numeric__Không xác định ký hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Tổng cộng
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,4.783.514,-,-,4.783.514,,,4783514.0,,,4783514.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,77.759,-,666.681,-,-,744.440,77759.0,,666681.0,,,744440.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,19.894,-,561.584,-,-,581.478,19894.0,,561584.0,,,581478.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,-,3.009.182,-,-,3.009.182,,,3009182.0,,,3009182.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,107.736,-,-,107.736,,,107736.0,,,107736.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",-,-,87.893,-,-,87.893,,,87893.0,,,87893.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,-,-,19.843,-,-,19.843,,,19843.0,,,19843.0
Đầu tư tài chính,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính,Đầu tư tài chính,-,3.497.863,105.842.788,30.030.326,109.639.383,249.010.360,,3497863.0,105842788.0,30030326.0,109639383.0,249010360.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,-,-,105.400.163,30.030.326,109.639.383,245.069.872,,,105400163.0,30030326.0,109639383.0,245069872.0
- Hợp đồng tiền gửi có ký hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có ký hạn,- Hợp đồng tiền gửi có ký hạn,-,-,101.897.968,14.636.531,-,116.534.499,,,101897968.0,14636531.0,,116534499.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,3.502.195,15.393.795,109.639.383,128.535.373,,,3502195.0,15393795.0,109639383.0,128535373.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,2.618.208,442.625,-,-,3.060.833,,2618208.0,442625.0,,,3060833.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,2.301.569,-,-,-,2.301.569,,2301569.0,,,,2301569.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,32.750,-,-,-,32.750,,32750.0,,,,32750.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,283.889,-,-,-,283.889,,283889.0,,,,283889.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,442.625,-,-,442.625,,,442625.0,,,442625.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,879.655,-,-,-,879.655,,879655.0,,,,879655.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,-,-,7.576.707,-,-,7.576.707,,,7576707.0,,,7576707.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,486.043,-,(517.170),-,-,(31.127),486043.0,,-517170.0,,,-31127.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,583.696,3.497.863,122.031.022,30.030.326,109.639.383,265.782.290,583696.0,3497863.0,122031022.0,30030326.0,109639383.0,265782290.0
