row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 (trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 (trình bày lại)
31,31,31,Chi khác hoạt động bào hiểm gốc(31 = 32 + 33),,(4.079.017.436.980),(4.080.000.169.549),,,-4079017436980.0,-4080000169549.0
32,32,32,Chi hoa hồng,,(2.489.113.008.960),(2.517.235.531.765),,,-2489113008960.0,-2517235531765.0
33,33,33,Chi khác hoạt động kinh doanh bảo hiểm,29,(1.589.904.428.020),(1.562.764.637.784),,29.0,-1589904428020.0,-1562764637784.0
41,41,41,Tổng chi trực tiếp hoạt động kinh doanh bảo hiểm (41 = 29 + 30 + 31),,(40.792.288.551.503),(42.617.798.300.342),,,-40792288551503.0,-42617798300342.0
42,42,42,Lỗ gộp hoạt động kinh doanh bảo hiểm (42 = 15 + 41),,(969.112.867.855),(2.532.319.107.166),,,-969112867855.0,-2532319107166.0
43.1,43.1,43.1,Doanh thu hoạt động khác,,555.874.347.470,602.343.898.969,,,555874347470.0,602343898969.0
43.2,43.2,43.2,Chi phí hoạt động khác,,(545.882.462.285),(611.364.632.985),,,-545882462285.0,-611364632985.0
43,43,43,Lợi nhuận/(Lỗ) thuần từ các hoạt động khác (43 = 43.1 + 43.2),30,9.991.885.185,(9.020.734.016),,30.0,9991885185.0,-9020734016.0
44.1,44.1,44.1,Doanh thu hoạt động tài chính,31.1,12.689.327.095.724,13.543.366.344.269,,311.0,12689327095724.0,13543366344269.0
44.2,44.2,44.2,Chi phí hoạt động tài chính,31.2,(2.115.731.389.939),(2.826.898.758.974),,312.0,-2115731389939.0,-2826898758974.0
44,44,44,Lợi nhuận hoạt động tài chính(44 = 44.1 + 44.2),,10.573.595.705.785,10.716.467.585.295,,,10573595705785.0,10716467585295.0
45,45,45,"Phần lợi nhuận trong công ty liên kết, đơn vị kinh doanh đồng kiểm soát",14.3.1,94.085.046.978,102.048.945.174,,1431.0,94085046978.0,102048945174.0
46,46,46,Chi phí bán hàng,32,(1.346.798.811.485),(1.094.026.078.899),,32.0,-1346798811485.0,-1094026078899.0
47,47,47,Chi phí quản lý doanh nghiệp,33,(5.724.600.399.115),(4.955.068.509.491),,33.0,-5724600399115.0,-4955068509491.0
48.1,48.1,48.1,Thu nhập khác,,29.836.692.724,39.586.150.146,,,29836692724.0,39586150146.0
48.2,48.2,48.2,Chi phí khác,,(3.825.774.921),(4.236.725.398),,,-3825774921.0,-4236725398.0
48,48,48,Lợi nhuận khác (48 = 48.1 + 48.2),34,26.010.917.803,35.349.424.748,,34.0,26010917803.0,35349424748.0
50,50,50,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ(50 = 42 + 43 + 44 + 45 + 46 + 47 + 48),,2.663.171.477.296,2.263.431.525.645,,,2663171477296.0,2263431525645.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,16.1,(464.527.211.119),(378.792.911.930),,161.0,-464527211119.0,-378792911930.0
52,52,52,Chi phí thuế thu nhập doanh nghiệp hoãn lại,16.2,(4.475.662.847),(3.335.621.421),,162.0,-4475662847.0,-3335621421.0
