row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,Giá trị ghi sổ > Ngày 31 tháng 12 năm 2024,Đơn vị: triệu VNDGiá trị hợp lý > Ngày 31 tháng 12 năm 2024,numeric__Giá trị ghi sổ > Ngày 31 tháng 12 năm 2024,numeric__Đơn vị: triệu VNDGiá trị hợp lý > Ngày 31 tháng 12 năm 2024
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nợ phải trả tài chính > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,180.710.017,180.710.017,180710017.0,180710017.0
Phải trả hoạt động bảo hiểm gốc,Nợ phải trả tài chính > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,1.478.589,1.478.589,1478589.0,1478589.0
Phải trả tái bảo hiểm,Nợ phải trả tài chính > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,891.805,891.805,891805.0,891805.0
Các nghĩa vụ nợ tài chính khác,Nợ phải trả tài chính > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,35.544.696,35.544.696,35544696.0,35544696.0
- Nhận ký quỹ,Nợ phải trả tài chính > - Nhận ký quỹ,- Nhận ký quỹ,294.056,294.056,294056.0,294056.0
- Khác,Nợ phải trả tài chính > - Khác,- Khác,35.250.640,35.250.640,35250640.0,35250640.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,218.625.107,218.625.107,218625107.0,218625107.0
Ngày 31 tháng 12 năm 2023(trình bày lại),Ngày 31 tháng 12 năm 2023(trình bày lại),Ngày 31 tháng 12 năm 2023(trình bày lại),Ngày 31 tháng 12 năm 2023(trình bày lại),Ngày 31 tháng 12 năm 2023(trình bày lại),,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nợ phải trả tài chính > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,162.119.481,162.119.481,162119481.0,162119481.0
Phải trả hoạt động bảo hiểm gốc,Nợ phải trả tài chính > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,1.354.285,1.354.285,1354285.0,1354285.0
Phải trả tái bảo hiểm,Nợ phải trả tài chính > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,1.140.019,1.140.019,1140019.0,1140019.0
Các nghĩa vụ nợ tài chính khác,Nợ phải trả tài chính > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,25.772.616,25.772.616,25772616.0,25772616.0
- Nhận ký quỹ,Nợ phải trả tài chính > - Nhận ký quỹ,- Nhận ký quỹ,289.859,289.859,289859.0,289859.0
- Khác,Nợ phải trả tài chính > - Khác,- Khác,25.482.757,25.482.757,25482757.0,25482757.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,190.386.401,190.386.401,190386401.0,190386401.0
