row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024VND,Ngày 31 tháng 12năm 2023(trình bày lại)VND,numeric__Ngày 31 tháng 12năm 2024VND,numeric__Ngày 31 tháng 12năm 2023(trình bày lại)VND
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,,
Trả trước tiền thuê văn phòng,Chi phí trả trước ngắn hạn > Trả trước tiền thuê văn phòng,Trả trước tiền thuê văn phòng,36.878.047.581,27.943.697.364,36878047581.0,27943697364.0
"Chi phí công cụ, dụng cụ, bảo hành","Chi phí trả trước ngắn hạn > Chi phí công cụ, dụng cụ, bảo hành","Chi phí công cụ, dụng cụ, bảo hành",23.103.570.188,19.516.591.898,23103570188.0,19516591898.0
Chi phí khác,Chi phí trả trước ngắn hạn > Chi phí khác,Chi phí khác,18.688.848.312,18.850.280.314,18688848312.0,18850280314.0
,,,78.670.466.081,66.310.569.576,78670466081.0,66310569576.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,,
Trả trước tiền thuê văn phòng,Chi phí trả trước dài hạn > Trả trước tiền thuê văn phòng,Trả trước tiền thuê văn phòng,28.323.886.644,31.903.104.829,28323886644.0,31903104829.0
Cải tạo thiết bị nội thất,Chi phí trả trước dài hạn > Cải tạo thiết bị nội thất,Cải tạo thiết bị nội thất,42.654.855.045,20.198.980.338,42654855045.0,20198980338.0
"Chi phí công cụ, dụng cụ, bảo hành","Chi phí trả trước dài hạn > Chi phí công cụ, dụng cụ, bảo hành","Chi phí công cụ, dụng cụ, bảo hành",47.316.825.983,44.808.718.569,47316825983.0,44808718569.0
Chi phí khác,Chi phí trả trước dài hạn > Chi phí khác,Chi phí khác,62.751.447.565,54.712.195.889,62751447565.0,54712195889.0
,,,181.047.015.237,151.622.999.625,181047015237.0,151622999625.0
TỔNG CỘNG,Chi phí trả trước dài hạn > TỔNG CỘNG,TỔNG CỘNG,259.717.481.318,217.933.569.201,259717481318.0,217933569201.0
