row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Giá trị ghi sổ > Nguyên giá,Giá trị ghi sổ > Dự phòng giảm giá trị,Giá trị ghi sổ > Giá trị thuần,Đơn vị: triệu VND > Giá trị hợp lý,numeric__Giá trị ghi sổ > Nguyên giá,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị,numeric__Giá trị ghi sổ > Giá trị thuần,numeric__Đơn vị: triệu VND > Giá trị hợp lý
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,227.347.655,(1.467.352),225.880.303,245.652.700,227347655.0,-1467352.0,225880303.0,245652700.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,128.459.219,(442.600),128.016.619,128.818.521,128459219.0,-442600.0,128016619.0,128818521.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,98.888.436,(1.024.752),97.863.684,116.834.179,98888436.0,-1024752.0,97863684.0,116834179.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.660.368,(202.980),3.457.388,6.298.027,3660368.0,-202980.0,3457388.0,6298027.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,3.207.279,(127.716),3.079.563,5.612.608,3207279.0,-127716.0,3079563.0,5612608.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,80.044,(44.196),35.848,37.464,80044.0,-44196.0,35848.0,37464.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,291.880,-,291.880,597.858,291880.0,,291880.0,597858.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,81.165,(31.068),50.097,50.097,81165.0,-31068.0,50097.0,50097.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,1.109.388,(62.507),1.046.881,1.895.585,1109388.0,-62507.0,1046881.0,1895585.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,8.246.332,(68.575),8.177.757,8.177.757,8246332.0,-68575.0,8177757.0,8177757.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,753.404,(100.398),653.006,663.768,753404.0,-100398.0,653006.0,663768.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,512.076,(4.672),507.404,507.403,512076.0,-4672.0,507404.0,507403.0
Tài sân tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sân tái bảo hiểm,Tài sân tái bảo hiểm,3.558.134,-,3.558.134,3.558.134,3558134.0,,3558134.0,3558134.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,130.585,(74.268),56.317,56.317,130585.0,-74268.0,56317.0,56317.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",68.289,-,68.289,68.289,68289.0,,68289.0,68289.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,7.891,-,7.891,7.891,7891.0,,7891.0,7891.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,54.405,(74.268),(19.863),(19.863),54405.0,-74268.0,-19863.0,-19863.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.464.088,-,1.464.088,1.464.088,1464088.0,,1464088.0,1464088.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,246.782.030,(1.980.752),244.801.278,268.273.779,246782030.0,-1980752.0,244801278.0,268273779.0
