row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Ngày 31 tháng 12 năm 2023 (số liệu đã trình bày),Điều chỉnh,Ngày 31 tháng 12 năm 2023 (trình bày lại),numeric__CHỈ TIÊU,numeric__Ngày 31 tháng 12 năm 2023 (số liệu đã trình bày),numeric__Điều chỉnh,numeric__Ngày 31 tháng 12 năm 2023 (trình bày lại)
01,01,01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOÀNH,,,,,,,
01,01 > 01,01,Lợi nhuận trước thuế,2.236.298.700.174,27.132.825.471,2.263.431.525.645,,2236298700174.0,27132825471.0,2263431525645.0
01,01 > 01,01,Điều chỉnh cho các khoản,8.373.897.139.075,491.179.300,8.374.388.318.375,,8373897139075.0,491179300.0,8374388318375.0
02,01 > 02,02,Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao môn tài sản cố định vô hình,203.390.740.109,503.775.861,203.894.515.970,,203390740109.0,503775861.0,203894515970.0
03,01 > 03,03,Các khoản dự phòng,20.001.631.625.093,(12.596.561),20.001.619.028.532,,20001631625093.0,-12596561.0,20001619028532.0
08,01 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,10.610.195.839.249,27.624.004.771,10.637.819.844.020,,10610195839249.0,27624004771.0,10637819844020.0
09,01 > 09,09,Giảm các khoản phải thu,1.705.439.520.294,(34.979.058.331),1.670.460.461.963,,1705439520294.0,-34979058331.0,1670460461963.0
10,01 > 10,10,Giảm hàng tồn kho,17.342.286.190,(33.300.000),17.308.986.190,,17342286190.0,-33300000.0,17308986190.0
11,01 > 11,11,"Giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",(1.175.877.607.268),20.874.165.647,(1.155.003.441.621),,-1175877607268.0,20874165647.0,-1155003441621.0
12,01 > 12,12,Tăng chi phí trả trước (bao gồm tái sản tái bảo hiểm),(131.677.740.983),(13.485.812.087),(145.163.553.070),,-131677740983.0,-13485812087.0,-145163553070.0
