row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Vào ngày 31/12/2023(trình bày lại),Nguyên giá: > Vào ngày 31/12/2023(trình bày lại),Vào ngày 31/12/2023(trình bày lại),758.468.058.334,817.254.691.034,5.153.846.739,1.580.876.596.107,758468058334.0,817254691034.0,5153846739.0,1580876596107.0
- Mua sắm,Nguyên giá: > - Mua sắm,- Mua sắm,-,19.760.105.000,230.000.000,19.990.105.000,,19760105000.0,230000000.0,19990105000.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(30.000.000),-,(30.000.000),,-30000000.0,,-30000000.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,239.753.506.863,-,-,239.753.506.863,239753506863.0,,,239753506863.0
Vào ngày 31/12/2024,Nguyên giá: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,998.221.565.197,836.984.796.034,5.383.846.739,1.840.590.207.970,998221565197.0,836984796034.0,5383846739.0,1840590207970.0
Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,,,,
Vào ngày 31/12/2023(trình bày lại),Giá trị hao mòn luỹ kế: > Vào ngày 31/12/2023(trình bày lại),Vào ngày 31/12/2023(trình bày lại),124.406.010.242,592.757.615.535,4.622.078.363,721.785.704.140,124406010242.0,592757615535.0,4622078363.0,721785704140.0
- Hao mòn trong năm,Giá trị hao mòn luỹ kế: > - Hao mòn trong năm,- Hao mòn trong năm,39.143.360.457,61.081.172.487,388.949.238,100.613.482.182,39143360457.0,61081172487.0,388949238.0,100613482182.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(30.000.000),-,(30.000.000),,-30000000.0,,-30000000.0
Vào ngày 31/12/2024,Giá trị hao mòn luỹ kế: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,163.549.370.699,653.808.788.022,5.011.027.601,822.369.186.322,163549370699.0,653808788022.0,5011027601.0,822369186322.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Vào ngày 31/12/2023(trình bày lại),Giá trị còn lại: > Vào ngày 31/12/2023(trình bày lại),Vào ngày 31/12/2023(trình bày lại),634.062.048.092,224.497.075.499,531.768.376,859.090.891.967,634062048092.0,224497075499.0,531768376.0,859090891967.0
Vào ngày 31/12/2024,Giá trị còn lại: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,834.672.194.498,183.176.008.012,372.819.138,1.018.221.021.648,834672194498.0,183176008012.0,372819138.0,1018221021648.0
