row_label_raw,row_label_full,Mã số,TÀI SẢN,Diễn giải,Ngày 31 tháng 12 năm 2023 (số liệu đã trình bày),Điều chỉnh,Ngày 31 tháng 12 năm 2023 (trình bày lại),numeric__TÀI SẢN,numeric__Diễn giải,numeric__Ngày 31 tháng 12 năm 2023 (số liệu đã trình bày),numeric__Điều chỉnh,numeric__Ngày 31 tháng 12 năm 2023 (trình bày lại)
100,100,100,TÀI SẢN NGĂN HẠN,,122.398.176.223.278,55.115.568.570,122.453.291.791.848,,,122398176223278.0,55115568570.0,122453291791848.0
130,130,130,Các khoản phải thu ngắn hạn,[1],12.278.031.992.798,44.300.805.773,12.322.332.798.571,,,12278031992798.0,44300805773.0,12322332798571.0
131,131,131,Phải thu ngắn hạn của khách hàng,,8.941.596.696.542,16.880.089.050,8.958.476.785.592,,,8941596696542.0,16880089050.0,8958476785592.0
131.1,131.1,131.1,Phải thu về hoạt động bảo hiểm,,1.433.851.131.849,16.880.089.050,1.450.731.220.899,,,1433851131849.0,16880089050.0,1450731220899.0
136,136,136,Phải thu ngắn hạn khác,,302.165.041.513,18.498.849.596,320.663.891.109,,,302165041513.0,18498849596.0,320663891109.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,,(266.290.676.624),8.921.867.127,(257.368.809.497),,,-266290676624.0,8921867127.0,-257368809497.0
140,140,140,Hàng tồn kho,,113.315.013.433,33.300.000,113.348.313.433,,,113315013433.0,33300000.0,113348313433.0
150,150,150,Tài sản ngắn hạn khác,[2],655.668.035.987,3.457.458.354,659.125.494.341,,,655668035987.0,3457458354.0,659125494341.0
151,151,151,Chi phí trả trước ngắn hạn,,621.328.053.868,3.649.815.141,624.977.869.009,,,621328053868.0,3649815141.0,624977869009.0
151.1,151.1,151.1,Chi phí hoa hồng chưa phân bổ,,557.740.609.732,926.689.701,558.667.299.433,,,557740609732.0,926689701.0,558667299433.0
151.2,151.2,151.2,Chi phí trả trước ngắn hạn khác,,63.587.444.136,2.723.125.440,66.310.569.576,,,63587444136.0,2723125440.0,66310569576.0
153,153,153,Thuế và các khoản phải thu Nhà nước,,4.998.425.502,(192.356.787),4.806.068.715,,,4998425502.0,-192356787.0,4806068715.0
190,190,190,Tài sản tái bảo hiểm,[3],3.001.857.927.552,7.324.004.443,3.009.181.931.995,,,3001857927552.0,7324004443.0,3009181931995.0
191,191,191,Dự phòng phí nhượng tái bảo hiểm,,1.710.351.585.766,7.723.884.758,1.718.075.470.524,,,1710351585766.0,7723884758.0,1718075470524.0
192,192,192,Dự phòng bồi thường nhượng tái bảo hiểm,,1.291.506.341.786,(399.880.315),1.291.106.461.471,,,1291506341786.0,-399880315.0,1291106461471.0
