row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024VND,Ngày 31 tháng 12năm 2023(trình bày lại)VND,numeric__Ngày 31 tháng 12năm 2024VND,numeric__Ngày 31 tháng 12năm 2023(trình bày lại)VND
Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,,
Phải thu hoạt động bảo hiểm gốc,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,438.768.633.188,541.604.667.436,438768633188.0,541604667436.0
Phải thu hoạt động nhận tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhận tái bảo hiểm,Phải thu hoạt động nhận tái bảo hiểm,74.240.702.879,93.933.130.886,74240702879.0,93933130886.0
Phải thu hoạt động nhượng tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhượng tái bảo hiểm,Phải thu hoạt động nhượng tái bảo hiểm,437.834.878.182,497.291.043.736,437834878182.0,497291043736.0
Phải thu khác nhượng tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác nhượng tái bảo hiểm,Phải thu khác nhượng tái bảo hiểm,11.735.525.602,79.457.707.495,11735525602.0,79457707495.0
Phải thu liên quan đến đồng bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu liên quan đến đồng bảo hiểm,Phải thu liên quan đến đồng bảo hiểm,298.390.942.918,227.057.754.206,298390942918.0,227057754206.0
Phải thu khác hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác hoạt động bảo hiểm,Phải thu khác hoạt động bảo hiểm,4.508.985.306,11.386.917.140,4508985306.0,11386917140.0
,,,1.265.479.668.075,1.450.731.220.899,1265479668075.0,1450731220899.0
Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,,
Phải thu cổ tức,Phải thu về hoạt động đầu tư tài chính > Phải thu cổ tức,Phải thu cổ tức,7.891.407.300,19.843.062.565,7891407300.0,19843062565.0
Phải thu lãi tiền gửi ngân hàng,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,3.450.806.584.888,4.670.150.030.878,3450806584888.0,4670150030878.0
Phải thu lãi trái phiếu,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi trái phiếu,Phải thu lãi trái phiếu,2.575.888.468.511,2.313.936.138.641,2575888468511.0,2313936138641.0
Phải thu liên quan đến tạm ứng từ giá trị hoàn lại,Phải thu về hoạt động đầu tư tài chính > Phải thu liên quan đến tạm ứng từ giá trị hoàn lại,Phải thu liên quan đến tạm ứng từ giá trị hoàn lại,569.092.743.881,497.955.798.141,569092743881.0,497955798141.0
Phải thu đầu tư khác,Phải thu về hoạt động đầu tư tài chính > Phải thu đầu tư khác,Phải thu đầu tư khác,23.033.344.995,5.860.534.468,23033344995.0,5860534468.0
,,,6.626.712.549.575,7.507.745.564.693,6626712549575.0,7507745564693.0
Trả trước cho người bán ngắn hạn,Phải thu về hoạt động đầu tư tài chính > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,32.063.030.043,48.615.471.980,32063030043.0,48615471980.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,
Phải thu từ hoạt động margin và ứng trước,Phải thu về cho vay ngắn hạn > Phải thu từ hoạt động margin và ứng trước,Phải thu từ hoạt động margin và ứng trước,3.544.777.548.703,3.248.557.900.056,3544777548703.0,3248557900056.0
Phải thu từ cho vay ủy thác,Phải thu về cho vay ngắn hạn > Phải thu từ cho vay ủy thác,Phải thu từ cho vay ủy thác,3.217.453.646,3.217.453.646,3217453646.0,3217453646.0
,,,3.547.995.002.349,3.251.775.353.702,3547995002349.0,3251775353702.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,
Phải thu từ hoạt động kinh doanh chứng khoán,Phải thu ngắn hạn khác > Phải thu từ hoạt động kinh doanh chứng khoán,Phải thu từ hoạt động kinh doanh chứng khoán,21.885.853.923,22.344.252.602,21885853923.0,22344252602.0
Phải thu phí quản lý quỹ,Phải thu ngắn hạn khác > Phải thu phí quản lý quỹ,Phải thu phí quản lý quỹ,1.751.750.919,4.114.935.945,1751750919.0,4114935945.0
"Phải thu từ hoạt động xây lắp, quản lý tòa nhà, và cho thuê văn phòng","Phải thu ngắn hạn khác > Phải thu từ hoạt động xây lắp, quản lý tòa nhà, và cho thuê văn phòng","Phải thu từ hoạt động xây lắp, quản lý tòa nhà, và cho thuê văn phòng",29.461.297.648,34.482.781.019,29461297648.0,34482781019.0
Tạm ứng khác,Phải thu ngắn hạn khác > Tạm ứng khác,Tạm ứng khác,24.641.341.342,22.164.978.942,24641341342.0,22164978942.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,233.169.710.781,237.556.942.601,233169710781.0,237556942601.0
,,,310.909.954.613,320.663.891.109,310909954613.0,320663891109.0
Tài sản thiếu chờ xử lý,Phải thu ngắn hạn khác > Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,170.105.685,170.105.685,170105685.0,170105685.0
Tổng cộng các khoản phải thu,Phải thu ngắn hạn khác > Tổng cộng các khoản phải thu,Tổng cộng các khoản phải thu,11.783.330.310.340,12.579.701.608.068,11783330310340.0,12579701608068.0
Dự phòng phải thu ngắn hạn khó đòi,Phải thu ngắn hạn khác > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(247.913.748.321),(257.368.809.497),-247913748321.0,-257368809497.0
Giá trị thuần của các khoản phải thu ngắn hạn,Phải thu ngắn hạn khác > Giá trị thuần của các khoản phải thu ngắn hạn,Giá trị thuần của các khoản phải thu ngắn hạn,11.535.416.562.019,12.322.332.798.571,11535416562019.0,12322332798571.0
