row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Diễn giải,Ngày 31 tháng 12 năm 2023 (số liệu đã trình bày),Điều chỉnh,Ngày 31 tháng 12 năm 2023 (trình bày lại),numeric__CHỈ TIÊU,numeric__Diễn giải,numeric__Ngày 31 tháng 12 năm 2023 (số liệu đã trình bày),numeric__Điều chỉnh,numeric__Ngày 31 tháng 12 năm 2023 (trình bày lại)
01,01,01,Doanh thu phí bảo hiểm,,42.659.877.832.211,7.262.117.634,42.667.139.949.845,,,42659877832211.0,7262117634.0,42667139949845.0
02,02,02,Phí bảo hiểm gốc,,42.637.147.155.713,15.168.076.771,42.652.315.232.484,,,42637147155713.0,15168076771.0,42652315232484.0
03,03,03,Phí nhận tái bảo hiểm,,214.862.851.415,2.485.323.744,217.348.175.159,,,214862851415.0,2485323744.0,217348175159.0
04,04,04,Giảm dự phòng phí chưa được hưởng của bảo hiểm gốc và nhận tái bảo hiểm,,(192.132.174.917),(10.391.282.881),(202.523.457.798),,,-192132174917.0,-10391282881.0,-202523457798.0
05,05,05,Phí nhượng tái bảo hiểm,,(3.316.257.547.166),(2.905.703.393),(3.319.163.250.559),,,-3316257547166.0,-2905703393.0,-3319163250559.0
06,06,06,Tổng phí nhượng tái bảo hiểm,,(3.463.319.868.456),(10.629.588.151),(3.473.949.456.607),,,-3463319868456.0,-10629588151.0,-3473949456607.0
07,07,07,Tăng dự phòng phí nhượng tái bảo hiểm,,147.062.321.290,7.723.884.758,154.786.206.048,,,147062321290.0,7723884758.0,154786206048.0
08,08,08,Doanh thu phí bảo hiểm thuần,[9],39.343.620.285.045,4.356.414.241,39.347.976.699.286,,,39343620285045.0,4356414241.0,39347976699286.0
09,09,09,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,,736.859.900.508,642.593.382,737.502.493.890,,,736859900508.0,642593382.0,737502493890.0
15,15,15,Doanh thu thuần từ hoạt động kinh doanh bảo hiểm,[10],40.080.480.185.553,4.999.007.623,40.085.479.193.176,,,40080480185553.0,4999007623.0,40085479193176.0
16,16,16,Chỉ bồi thường bảo hiểm gốc và chỉ trả đáo hạn,,(19.601.479.750.808),210.000.000,(19.601.269.750.808),,,-19601479750808.0,210000000.0,-19601269750808.0
27,27,27,Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,,81.204.123.063,1.622.488.562,82.826.611.625,,,81204123063.0,1622488562.0,82826611625.0
28,28,28,Giảm dự phòng bồi thường nhượng tái bảo hiểm,,(95.034.988.630),(399.880.315),(95.434.868.945),,,-95034988630.0,-399880315.0,-95434868945.0
29,29,29,Tổng chỉ bồi thường và trả tiền bảo hiểm,[11],(38.429.990.840.536),1.432.608.247,(38.428.558.232.289),,,-38429990840536.0,1432608247.0,-38428558232289.0
30,30,30,Tăng dự phòng dao động lớn,,(109.099.422.257),(140.476.247),(109.239.898.504),,,-109099422257.0,-140476247.0,-109239898504.0
