row_label_raw,row_label_full,col_0,Dự phòngbảo hiểm gốc và nhận táiVND,Dự phòng nhượng tái bảo hiểm (tài sản tái bảo hiểm)VND,Dự phòng bảo hiểm thuầnVND,numeric__Dự phòngbảo hiểm gốc và nhận táiVND,numeric__Dự phòng nhượng tái bảo hiểm (tài sản tái bảo hiểm)VND,numeric__Dự phòng bảo hiểm thuầnVND
Ngày 31/12/2023(trình bày lại),Ngày 31/12/2023(trình bày lại),Ngày 31/12/2023(trình bày lại),Ngày 31/12/2023(trình bày lại),Ngày 31/12/2023(trình bày lại),Ngày 31/12/2023(trình bày lại),,,
Dự phòng phí chưa được hưởng,Ngày 31/12/2023(trình bày lại) > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,5.082.078.886.449,(1.718.075.470.524),3.364.003.415.925,5082078886449.0,-1718075470524.0,3364003415925.0
Dự phòng bồi thường,Ngày 31/12/2023(trình bày lại) > Dự phòng bồi thường,Dự phòng bồi thường,2.533.672.231.489,(1.291.106.461.471),1.242.565.770.018,2533672231489.0,-1291106461471.0,1242565770018.0
Dự phòng dao động lớn,Ngày 31/12/2023(trình bày lại) > Dự phòng dao động lớn,Dự phòng dao động lớn,135.582.178.616,-,135.582.178.616,135582178616.0,,135582178616.0
Dự phòng đảm bảo cân đối,Ngày 31/12/2023(trình bày lại) > Dự phòng đảm bảo cân đối,Dự phòng đảm bảo cân đối,158.304.693.710,-,158.304.693.710,158304693710.0,,158304693710.0
TỔNG CỘNG,Ngày 31/12/2023(trình bày lại) > TỔNG CỘNG,TỔNG CỘNG,7.909.637.990.264,(3.009.181.931.995),4.900.456.058.269,7909637990264.0,-3009181931995.0,4900456058269.0
Ngày 31/12/2024,Ngày 31/12/2024,Ngày 31/12/2024,Ngày 31/12/2024,Ngày 31/12/2024,Ngày 31/12/2024,,,
Dự phòng phí chưa được hưởng,Ngày 31/12/2024 > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,5.209.277.210.371,(1.686.897.782.968),3.522.379.427.403,5209277210371.0,-1686897782968.0,3522379427403.0
Dự phòng bồi thường,Ngày 31/12/2024 > Dự phòng bồi thường,Dự phòng bồi thường,3.043.167.026.696,(1.871.236.613.709),1.171.930.412.987,3043167026696.0,-1871236613709.0,1171930412987.0
Dự phòng dao động lớn,Ngày 31/12/2024 > Dự phòng dao động lớn,Dự phòng dao động lớn,186.907.656.143,-,186.907.656.143,186907656143.0,,186907656143.0
Dự phòng đảm bảo cân đối,Ngày 31/12/2024 > Dự phòng đảm bảo cân đối,Dự phòng đảm bảo cân đối,250.026.183.799,-,250.026.183.799,250026183799.0,,250026183799.0
TỔNG CỘNG,Ngày 31/12/2024 > TỔNG CỘNG,TỔNG CỘNG,8.689.378.077.009,(3.558.134.396.677),5.131.243.680.332,8689378077009.0,-3558134396677.0,5131243680332.0
