row_label_raw,row_label_full,col_0,col_1,Miền Bắc (*),Miền Trung và Tây Nguyên,Miền Nam,Loại trừ,Tổng cộng,numeric__col_1,numeric__Miền Bắc (*),numeric__Miền Trung và Tây Nguyên,numeric__Miền Nam,numeric__Loại trừ,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,117.738.893,20.325.145,60.426.728,(106.314.663),92.176.103,,117738893.0,20325145.0,60426728.0,-106314663.0,92176103.0
2,2,2,Chi phí lãi và các chi phí tương tự,(95.871.794),(12.052.242),(36.223.850),106.314.663,(37.833.223),,-95871794.0,-12052242.0,-36223850.0,106314663.0,-37833223.0
I,I,I,Thu nhập lãi thuần,21.867.099,8.272.903,24.202.878,-,54.342.880,,21867099.0,8272903.0,24202878.0,,54342880.0
3,3,3,Thu nhập từ hoạt động dịch vụ,8.094.457,846.775,3.664.932,(218),12.605.946,,8094457.0,846775.0,3664932.0,-218.0,12605946.0
4,4,4,Chi phí hoạt động dịch vụ,(7.670.512),(49.265),(119.481),218,(7.839.040),,-7670512.0,-49265.0,-119481.0,218.0,-7839040.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,423.945,797.510,3.545.451,-,4.766.906,,423945.0,797510.0,3545451.0,,4766906.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,3.440.866,227.305,1.610.387,-,5.278.558,,3440866.0,227305.0,1610387.0,,5278558.0
IV,IV,IV,Lỗ thuần từ mua bán chứng khoán kinh doanh,(20.901),-,-,-,(20.901),,-20901.0,,,,-20901.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,3.444,-,-,-,3.444,,3444.0,,,,3444.0
5,5,5,Thu nhập từ hoạt động khác,1.641.465,677.506,2.115.718,-,4.434.689,,1641465.0,677506.0,2115718.0,,4434689.0
6,6,6,Chi phí hoạt động khác,(1.251.805),(110.571),(721.295),-,(2.083.671),,-1251805.0,-110571.0,-721295.0,,-2083671.0
VI,VI,VI,Lãi thuần từ hoạt động khác,389.660,566.935,1.394.423,-,2.351.018,,389660.0,566935.0,1394423.0,,2351018.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",310.916,-,-,-,310.916,,310916.0,,,,310916.0
,,,Tổng thu nhập hoạt động,26.415.029,9.864.653,30.753.139,-,67.032.821,,26415029.0,9864653.0,30753139.0,,67032821.0
VIII,VIII,VIII,Chi phí hoạt động,(13.218.720),(2.428.672),(6.881.425),-,(22.528.817),,-13218720.0,-2428672.0,-6881425.0,,-22528817.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,13.196.309,7.435.981,23.871.714,-,44.504.004,,13196309.0,7435981.0,23871714.0,,44504004.0
X,X,X,Hoàn nhập/(trích lập) chi phí dự phòng rủi ro tín dụng,3.002.730,(1.889.224),(4.338.435),-,(3.224.929),,3002730.0,-1889224.0,-4338435.0,,-3224929.0
XI,XI,XI,Tổng lợi nhuận trước thuế,16.199.039,5.546.757,19.533.279,-,41.279.075,,16199039.0,5546757.0,19533279.0,,41279075.0
7,7,7,Chi phí thuế TNDN hiện hành,(3.319.396),(1.109.351),(3.906.656),-,(8.335.403),,-3319396.0,-1109351.0,-3906656.0,,-8335403.0
8,8,8,Thu nhập thuế TNDN hoãn lại,140.493,-,-,-,140.493,,140493.0,,,,140493.0
XII,XII,XII,Chi phí thuế TNDN,(3.178.903),(1.109.351),(3.906.656),-,(8.194.910),,-3178903.0,-1109351.0,-3906656.0,,-8194910.0
XIII,XIII,XIII,Lợi nhuận sau thuế,13.020.136,4.437.406,15.626.623,-,33.084.165,,13020136.0,4437406.0,15626623.0,,33084165.0
