row_label_raw,row_label_full,Thuế phải trả (Thuyết minh 36),31/12/2024Triệu VND > 4.561.351,31/12/2023Triệu VND(trình bày lại) > 4.866.292,numeric__31/12/2024Triệu VND > 4.561.351,numeric__31/12/2023Triệu VND(trình bày lại) > 4.866.292
- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,4.319.403,4.657.744,4319403.0,4657744.0
- Thuế giả trị gia tăng phải trả,- Thuế giả trị gia tăng phải trả,- Thuế giả trị gia tăng phải trả,68.442,58.946,68442.0,58946.0
- Các thuế khác phải trả,- Các thuế khác phải trả,- Các thuế khác phải trả,173.506,149.602,173506.0,149602.0
Doanh thu nhận trước chờ phân bổ,Doanh thu nhận trước chờ phân bổ,Doanh thu nhận trước chờ phân bổ,192,1.684.810,192.0,1684810.0
Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,720.305,824.549,720305.0,824549.0
Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,286.099,448.710,286099.0,448710.0
Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,3.347.207,3.130.640,3347207.0,3130640.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.921.496,236.224,1921496.0,236224.0
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64.528,64.528,64528.0,64528.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,517.419,613.574,517419.0,613574.0
Phải trả khác,Phải trả khác,Phải trả khác,1.291.963,632.361,1291963.0,632361.0
,,,12.710.560,12.501.688,12710560.0,12501688.0
