row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,49.080.832,-,-,49.080.832,49080832.0,,,49080832.0
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,394.354.303,-,1.000.000,395.354.303,394354303.0,,1000000.0,395354303.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,382.313.025,-,-,382.313.025,382313025.0,,,382313025.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,12.041.278,-,1.000.000,13.041.278,12041278.0,,1000000.0,13041278.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,1.000.145,-,-,1.000.145,1000145.0,,,1000145.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.394.095.381,14.060.869,27.251.808,1.435.408.058,1394095381.0,14060869.0,27251808.0,1435408058.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,166.214.578,-,178.751,166.393.329,166214578.0,,178751.0,166393329.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,86.799.901,-,-,86.799.901,86799901.0,,,86799901.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,79.414.677,-,178.751,79.593.428,79414677.0,,178751.0,79593428.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,24.912.990,-,-,24.912.990,24912990.0,,,24912990.0
,,,2.029.658.229,14.060.869,28.430.559,2.072.149.657,2029658229.0,14060869.0,28430559.0,2072149657.0
