row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2024Triệu VND,31/12/2023Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND(trình bày lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,16,78.237.337,1.670.837,,16.0,78237337.0,1670837.0
1,B > 1,1,Tiền gửi và vay Chính phủ và NHNNVN,,78.237.337,1.670.837,,,78237337.0,1670837.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,227.892.113,208.810.354,,17.0,227892113.0,208810354.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,224.539.536,195.386.877,,,224539536.0,195386877.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.352.577,13.423.477,,,3352577.0,13423477.0
III,B > III,III,Tiền gửi của khách hàng,18,1.515.557.944,1.401.599.396,,18.0,1515557944.0,1401599396.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,-,117.752,,8.0,,117752.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,529,365,,19.0,529.0,365.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,24.125.059,20.093.780,,20.0,24125059.0,20093780.0
VII,B > VII,VII,Các khoản nợ khác,,37.055.464,41.316.678,,,37055464.0,41316678.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),13.970.457,19.513.976,,,13970457.0,19513976.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),23.085.007,21.802.702,,,23085007.0,21802702.0
,,,TỔNG NỘ PHẢI TRẢ,,1.882.868.446,1.673.609.162,,,1882868446.0,1673609162.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,22,,,,22.0,,
1,B > 1,1,Vốn của tổ chức tín dụng,,60.886.714,60.886.714,,,60886714.0,60886714.0
a,B > a,a,Vốn điều lệ,,55.890.913,55.890.913,,,55890913.0,55890913.0
c,B > c,c,Thặng dư vốn cổ phần,,4.995.389,4.995.389,,,4995389.0,4995389.0
g,B > g,g,Vốn khác,,412,412,,,412.0,412.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,36.655.243,27.082.539,,,36655243.0,27082539.0
5,B > 5,5,Lợi nhuận chưa phân phối,,95.368.537,74.519.257,,,95368537.0,74519257.0
a,B > a,a,Lợi nhuận để lại năm trước,,72.244.444,49.415.389,,,72244444.0,49415389.0
b,B > b,b,Lợi nhuận để lại năm nay,,23.124.093,25.103.868,,,23124093.0,25103868.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),192.910.494,162.488.510,,,192910494.0,162488510.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.075.778.940,1.836.097.672,,,2075778940.0,1836097672.0
