row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(trình bày lại),numeric__2024Triệu VND,numeric__2023Triệu VND(trình bày lại)
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,
Thu từ dịch vụ thanh toán,Thu nhập từ hoạt động dịch vụ > Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,7.405.549,6.571.011,7405549.0,6571011.0
Thu từ dịch vụ ngân quỹ,Thu nhập từ hoạt động dịch vụ > Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,52.334,51.924,52334.0,51924.0
Thu từ nghiệp vụ ủy thác và đại lý,Thu nhập từ hoạt động dịch vụ > Thu từ nghiệp vụ ủy thác và đại lý,Thu từ nghiệp vụ ủy thác và đại lý,1.243,407,1243.0,407.0
Thu từ dịch vụ khác,Thu nhập từ hoạt động dịch vụ > Thu từ dịch vụ khác,Thu từ dịch vụ khác,5.146.820,5.575.881,5146820.0,5575881.0
,,,12.605.946,12.199.223,12605946.0,12199223.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,
Chi cho dịch vụ thanh toán,Chi phí hoạt động dịch vụ > Chi cho dịch vụ thanh toán,Chi cho dịch vụ thanh toán,(6.147.126),(5.550.246),-6147126.0,-5550246.0
Chi cho dịch vụ ngân quỹ,Chi phí hoạt động dịch vụ > Chi cho dịch vụ ngân quỹ,Chi cho dịch vụ ngân quỹ,(141.478),(105.031),-141478.0,-105031.0
Chi cho dịch vụ viễn thông,Chi phí hoạt động dịch vụ > Chi cho dịch vụ viễn thông,Chi cho dịch vụ viễn thông,(184.262),(152.557),-184262.0,-152557.0
Chi cho nghiệp vụ ủy thác và đại lý,Chi phí hoạt động dịch vụ > Chi cho nghiệp vụ ủy thác và đại lý,Chi cho nghiệp vụ ủy thác và đại lý,(21.910),(9.872),-21910.0,-9872.0
Chi cho dịch vụ khác,Chi phí hoạt động dịch vụ > Chi cho dịch vụ khác,Chi cho dịch vụ khác,(1.344.264),(900.756),-1344264.0,-900756.0
,,,(7.839.040),(6.718.462),-7839040.0,-6718462.0
,,,4.766.906,5.480.761,4766906.0,5480761.0
