row_label_raw,row_label_full,(a),"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả_1","Các khoản lãi, phí phải trả_2","numeric__Các khoản lãi, phí phải trả","numeric__Các khoản lãi, phí phải trả_1","numeric__Các khoản lãi, phí phải trả_2"
(a),(a),(a),,31/12/2024Triệu VND,31/12/2023Triệu VND,,,
(a),(a) > (a),(a),Lãi tiền gửi của khách hàng,13.103.857,18.778.224,,13103857.0,18778224.0
(a),(a) > (a),(a),Lãi tiền gửi và vay các TCTD khác,152.500,61.001,,152500.0,61001.0
(a),(a) > (a),(a),Lãi phải trả phát hành giấy tờ có giá,460.802,252.284,,460802.0,252284.0
(a),(a) > (a),(a),Lãi phải trả cho các công cụ tài chính phải sinh,253.298,422.467,,253298.0,422467.0
(a),(a) > (a),(a),,13.970.457,19.513.976,,13970457.0,19513976.0
(b),(b),(b),Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,,,
(b),(b),(b),,31/12/2024Triệu VND,31/12/2023Triệu VND(trình bày lại),,,
(b),(b) > (b),(b),Các khoản phải trả nội bộ (i),5.603.804,4.449.755,,5603804.0,4449755.0
(b),(b) > (b),(b),Các khoản phải trả bên ngoài (ii),12.710.560,12.501.688,,12710560.0,12501688.0
(b),(b) > (b),(b),"Quỹ khen thưởng, phúc lợi",4.770.643,4.851.259,,4770643.0,4851259.0
(b),(b) > (b),(b),,23.085.007,21.802.702,,23085007.0,21802702.0
