row_label_raw,row_label_full,col_0,2023Triệu VND(trình bày lại),2023Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__2023Triệu VND(trình bày lại),numeric__2023Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhậptrong tự,Thu nhập lãi và các khoản thu nhậptrong tự,Thu nhập lãi và các khoản thu nhậptrong tự,106.819.199(54.234.717),106.825.637(54.234.717),(6.438)-,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,106.819.199(54.234.717),106.825.637(54.234.717),(6.438)-,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,52.584.482,52.590.920,(6.438),52584482.0,52590920.0,-6438.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,12.199.223(6.718.462),12.133.879(6.698.805),65.344(19.657),,,
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,12.199.223(6.718.462),12.133.879(6.698.805),65.344(19.657),,,
Lãi thuần từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,5.480.761,5.435.074,45.687,5480761.0,5435074.0,45687.0
Lãi thuần từ mua bán chứng khoánkinh doanh,Chi phí hoạt động dịch vụ > Lãi thuần từ mua bán chứng khoánkinh doanh,Lãi thuần từ mua bán chứng khoánkinh doanh,52.875,52.553,322,52875.0,52553.0,322.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,4.004.522(1.740.929),4.003.229(1.740.929),1.293-,,,
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,4.004.522(1.740.929),4.003.229(1.740.929),1.293-,,,
Lãi thuần từ hoạt động khác,Chi phí hoạt động khác > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,2.263.593,2.262.300,1.293,2263593.0,2262300.0,1293.0
"Thu nhập từ góp vốn, mua cổ phần","Chi phí hoạt động khác > Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",398.594,371.776,26.818,398594.0,371776.0,26818.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí hoạt động khác > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,66.412.455,66.344.773,67.682,66412455.0,66344773.0,67682.0
CHI PHÍ HOẠT ĐỘNG,Chi phí hoạt động khác > CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,(21.403.616),(21.412.603),8.987,-21403616.0,-21412603.0,8987.0
Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi ro tín dụng,Chi phí hoạt động khác > Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi ro tín dụng,45.008.839,44.932.170,76.669,45008839.0,44932170.0,76669.0
Chi phí dự phòng rủi ro tín dụng,Chi phí hoạt động khác > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.441.071),(4.476.000),34.929,-4441071.0,-4476000.0,34929.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí hoạt động khác > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,40.567.768,40.456.170,111.598,40567768.0,40456170.0,111598.0
Chi phí thuế thu nhập doanh nghiệp -hiện hành,Chi phí hoạt động khác > Chi phí thuế thu nhập doanh nghiệp -hiện hành,Chi phí thuế thu nhập doanh nghiệp -hiện hành,(7.931.313),(7.914.357),(16.956),-7931313.0,-7914357.0,-16956.0
Chi phí thuế thu nhập doanh nghiệp -hoản lại,Chi phí hoạt động khác > Chi phí thuế thu nhập doanh nghiệp -hoản lại,Chi phí thuế thu nhập doanh nghiệp -hoản lại,(103.735),(103.735),-,-103735.0,-103735.0,
Chi phí thuế thu nhập doanh nghiệp,Chi phí hoạt động khác > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(8.035.048),(8.018.092),(16.956),-8035048.0,-8018092.0,-16956.0
LỢI NHUẬN SAU THUẾ,Chi phí hoạt động khác > LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,32.532.720,32.438.078,94.642,32532720.0,32438078.0,94642.0
