row_label_raw,row_label_full,col_0,31/12/2023Triệu VND(trình bày lại),31/12/2023Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2023Triệu VND(trình bày lại),numeric__31/12/2023Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,338.437.233,338.404.183,33.050,338437233.0,338404183.0,33050.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,308.584.476,308.584.476,-,308584476.0,308584476.0,
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,35.528.682,35.528.682,-,35528682.0,35528682.0,
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,(5.675.925),(5.708.975),33.050,-5675925.0,-5708975.0,33050.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.229.878.026,1.229.876.148,1.878,1229878026.0,1229876148.0,1878.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.258.405.170,1.258.405.170,-,1258405170.0,1258405170.0,
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(28.527.144),(28.529.022),1.878,-28527144.0,-28529022.0,1878.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,7.599.847,7.502.948,96.899,7599847.0,7502948.0,96899.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.046.329,4.949.137,97.192,5046329.0,4949137.0,97192.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,13.802.956,13.704.688,98.268,13802956.0,13704688.0,98268.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(8.756.627),(8.755.551),(1.076),-8756627.0,-8755551.0,-1076.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,2.553.518,2.553.811,(293),2553518.0,2553811.0,-293.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,4.811.835,4.811.835,-,4811835.0,4811835.0,
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(2.258.317),(2.258.024),(293),-2258317.0,-2258024.0,-293.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,35.470.094,35.463.741,6.353,35470094.0,35463741.0,6353.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,16.939.386,16.912.568,26.818,16939386.0,16912568.0,26818.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",9.032.101,8.966.670,65.431,9032101.0,8966670.0,65431.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,845.881,845.881,-,845881.0,845881.0,
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,8.653.135,8.739.031,(85.896),8653135.0,8739031.0,-85896.0
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,(409),(409),-,-409.0,-409.0,
