row_label_raw,row_label_full,col_0,Chúc danh,Năm 2024Triệu VND,Năm 2023Triệu VND,numeric__Chúc danh,numeric__Năm 2024Triệu VND,numeric__Năm 2023Triệu VND
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,
"Thù lao, thường","Thành viên Hội đồng Quản trị > Thù lao, thường","Thù lao, thường",,13.950,16.784,,13950.0,16784.0
Ông Nguyễn Thanh Tùng,Ông Nguyễn Thanh Tùng,Ông Nguyễn Thanh Tùng,Chủ tịch HĐQT (bổ nhiệm ngày 26 tháng 7 năm 2024),,,,,
Ông Nguyễn Thanh Tùng,Ông Nguyễn Thanh Tùng > Ông Nguyễn Thanh Tùng,Ông Nguyễn Thanh Tùng,Tổng Giám đốc (thôi đảm nhận ngày 26 tháng 7 năm 2024),1.642,1.630,,1642.0,1630.0
Ông Phạm Quang Dũng,Ông Nguyễn Thanh Tùng > Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Chủ tịch HĐQT (thôi đảm nhận chức vụ kể từ ngày 1 tháng 1 năm 2024),-,1.630,,,1630.0
Ông Đỗ Việt Hùng,Ông Nguyễn Thanh Tùng > Ông Đỗ Việt Hùng,Ông Đỗ Việt Hùng,Thành viên HĐQT,1.642,1.630,,1642.0,1630.0
Ông Lê Quang Vinh,Ông Lê Quang Vinh,Ông Lê Quang Vinh,Thành viên HĐQT (bổ nhiệm ngày 7 tháng 3 năm 2025),(*),,,,
Ông Nguyễn Mạnh Hùng,Ông Lê Quang Vinh > Ông Nguyễn Mạnh Hùng,Ông Nguyễn Mạnh Hùng,Thành viên HĐQT,2.227,2.498,,2227.0,2498.0
Ông Nguyễn Mỹ Hào,Ông Lê Quang Vinh > Ông Nguyễn Mỹ Hào,Ông Nguyễn Mỹ Hào,Thành viên HĐQT (từ nhiệm ngày 1 tháng 11 năm 2024),1.789,2.309,,1789.0,2309.0
Ông Hồng Quang,Ông Lê Quang Vinh > Ông Hồng Quang,Ông Hồng Quang,Thành viên HĐQT,2.081,2.417,,2081.0,2417.0
Ông Shojiro Mizoguchi,Ông Lê Quang Vinh > Ông Shojiro Mizoguchi,Ông Shojiro Mizoguchi,Thành viên HĐQT,1.771,2.300,,1771.0,2300.0
Bà Nguyễn Thị Kim Oanh,Ông Lê Quang Vinh > Bà Nguyễn Thị Kim Oanh,Bà Nguyễn Thị Kim Oanh,Thành viên HĐQT,2.249,2.370,,2249.0,2370.0
Ông Nguyễn Tuấn Anh,Ông Lê Quang Vinh > Ông Nguyễn Tuấn Anh,Ông Nguyễn Tuấn Anh,Thành viên HĐQT (bổ nhiệm ngày 19 tháng 8 năm 2024),549,-,,549.0,
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,,
"Thù lao, thường (**)","Thành viên Ban Kiểm soát > Thù lao, thường (**)","Thù lao, thường (**)",,4.405,4.791,,4405.0,4791.0
