row_label_raw,row_label_full,col_0,31/12/2024Triệu VND,31/12/2023Triệu VND(trình bày lại),numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND(trình bày lại)
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,
Tiền gửi không kỳ hạn bằng VND,Tiền gửi tại các tổ chức tín dụng khác > Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,84.376.027,40.335.397,84376027.0,40335397.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi tại các tổ chức tín dụng khác > Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,65.959.902,42.361.376,65959902.0,42361376.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi tại các tổ chức tín dụng khác > Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,167.758.052,198.049.382,167758052.0,198049382.0
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi tại các tổ chức tín dụng khác > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,64.219.044,27.838.321,64219044.0,27838321.0
,,,382.313.025,308.584.476,382313025.0,308584476.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,
Cho vay bằng VND,Cho vay các tổ chức tín dụng khác > Cho vay bằng VND,Cho vay bằng VND,10.315.398,32.747.555,10315398.0,32747555.0
Cho vay bằng ngoại tệ,Cho vay các tổ chức tín dụng khác > Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,2.725.880,2.781.127,2725880.0,2781127.0
,,,13.041.278,35.528.682,13041278.0,35528682.0
Dự phòng rủi ro,Cho vay các tổ chức tín dụng khác > Dự phòng rủi ro,Dự phòng rủi ro,(1.000.000),(5.675.925),-1000000.0,-5675925.0
,,,394.354.303,338.437.233,394354303.0,338437233.0
