row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Tổng cộng,Lợi nhuận chưa phân phối,Tổng cộng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Số dư tại ngày 1/1/2024(trình bày lại),Số dư tại ngày 1/1/2024(trình bày lại),Số dư tại ngày 1/1/2024(trình bày lại),55.890.913,4.995.389,412,9.055.731,18.026.808,-,27.082.539,74.519.257,162.488.510,55890913.0,4995389.0,412.0,9055731.0,18026808.0,,27082539.0,74519257.0,162488510.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,33.084.165,33.084.165,,,,,,,,33084165.0,33084165.0
Tạm trích các quỹ trong năm2024 của Ngân hàng,Tạm trích các quỹ trong năm2024 của Ngân hàng,Tạm trích các quỹ trong năm2024 của Ngân hàng,-,-,-,3.308.416,3.308.416,661.683,7.278.515,(7.278.515),-,,,,3308416.0,3308416.0,661683.0,7278515.0,-7278515.0,
"Tạm trích quỹ khen thưởng,phúc lợi trong năm 2024Điều chính theo Nghị quyết củaHội đồng quản trị","Tạm trích quỹ khen thưởng,phúc lợi trong năm 2024Điều chính theo Nghị quyết củaHội đồng quản trị","Tạm trích quỹ khen thưởng,phúc lợi trong năm 2024Điều chính theo Nghị quyết củaHội đồng quản trị",-,-,-,-,-,-,-,(2.681.557),(2.681.557),,,,,,,,-2681557.0,-2681557.0
"Tạm trích quỹ khen thưởng,phúc lợi trong năm 2024Điều chính theo Nghị quyết củaHội đồng quản trị","Tạm trích quỹ khen thưởng,phúc lợi trong năm 2024Điều chính theo Nghị quyết củaHội đồng quản trị","Tạm trích quỹ khen thưởng,phúc lợi trong năm 2024Điều chính theo Nghị quyết củaHội đồng quản trị",-,-,-,1.632.923,11.019,650.965,2.294.907,(2.348.930),(54.023),,,,1632923.0,11019.0,650965.0,2294907.0,-2348930.0,-54023.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(718),-,(718),-,(718),,,,,-718.0,,-718.0,,-718.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,74.117,74.117,,,,,,,,74117.0,74117.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,55.890.913,4.995.389,412,13.997.070,21.345.525,1.312.648,36.655.243,95.368.537,192.910.494,55890913.0,4995389.0,412.0,13997070.0,21345525.0,1312648.0,36655243.0,95368537.0,192910494.0
