row_label_raw,row_label_full,STT,Chỉ tiêu,2024Triệu VND,2023Triệu VND,numeric__Chỉ tiêu,numeric__2024Triệu VND,numeric__2023Triệu VND
,,,LU'|U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'|U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'|U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(1.428.169),(951.153),,-1428169.0,-951153.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",6.932,4.821,,6932.0,4821.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(1.204),(6.770),,-1204.0,-6770.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",747,-,,747.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",294.100,245.294,,294100.0,245294.0
10,10,10,Tiền thu từ cổ tức đã có quyết định từ năm trước,153.300,23.847,,153300.0,23847.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(974.294),(683.961),,-974294.0,-683961.0
III,III,III,Lưu chuyển tiền thuần trong năm,57.015.496,(39.703.147),,57015496.0,-39703147.0
IV,IV,IV,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,372.774.556,412.477.703,,372774556.0,412477703.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểm cuối năm (Thuyết minh 34),429.790.052,372.774.556,,429790052.0,372774556.0
