row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Bản quyền và bằng sáng chế,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Bản quyền và bằng sáng chế,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.477.254,2.319.368,15.213,4.811.835,2477254.0,2319368.0,15213.0,4811835.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,155.641,-,155.641,,155641.0,,155641.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,-,155.096,-,155.096,,155096.0,,155096.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,545,-,545,,545.0,,545.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(107),-,(107),,-107.0,,-107.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(107),-,(107),,-107.0,,-107.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.477.254,2.474.902,15.213,4.967.369,2477254.0,2474902.0,15213.0,4967369.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),131.589,2.126.728,-,2.258.317,131589.0,2126728.0,,2258317.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,14.082,166.334,-,180.416,14082.0,166334.0,,180416.0
- Hao mòn,Hao mòn lũy kế > - Hao mòn,- Hao mòn,14.082,166.245,-,180.327,14082.0,166245.0,,180327.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,-,89,-,89,,89.0,,89.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(107),-,(107),,-107.0,,-107.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(107),-,(107),,-107.0,,-107.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,145.671,2.292.955,-,2.438.626,145671.0,2292955.0,,2438626.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),2.345.665,192.640,15.213,2.553.518,2345665.0,192640.0,15213.0,2553518.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.331.583,181.947,15.213,2.528.743,2331583.0,181947.0,15213.0,2528743.0
