row_label_raw,row_label_full,Vay Ngân hàng Nhà nước Việt Nam,31/12/2024Triệu VND > 587.278,31/12/2023Triệu VND > 900.956,numeric__31/12/2024Triệu VND > 587.278,numeric__31/12/2023Triệu VND > 900.956
Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,535.580,790.840,535580.0,790840.0
Vay khác,Vay khác,Vay khác,51.698,110.116,51698.0,110116.0
Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,77.650.059,769.881,77650059.0,769881.0
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,412.215,121.426,412215.0,121426.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,572.844,648.455,572844.0,648455.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,76.665.000,-,76665000.0,
,,,78.237.337,1.670.837,78237337.0,1670837.0
