row_label_raw,row_label_full,1,Bảo lãnh vay vốn,col_2,286.899,306.384,numeric__Bảo lãnh vay vốn,numeric__col_2,numeric__286.899,numeric__306.384
2,2,2,Cam kết giao dịch hối đoái,,345.715.424,111.435.962,,,345715424.0,111435962.0
2,2,2,Cam kết mua ngoại tệ,,2.420.843,3.375.603,,,2420843.0,3375603.0
2,2,2,Cam kết bán ngoại tệ,,2.429.276,3.798.668,,,2429276.0,3798668.0
2,2,2,Cam kết giao dịch hoán đổi,,340.865.305,104.261.691,,,340865305.0,104261691.0
4,4,4,Cam kết trong nghiệp vụ thư tín dụng,,49.750.002,76.546.157,,,49750002.0,76546157.0
5,5,5,Bảo lãnh khác,,58.052.470,53.725.995,,,58052470.0,53725995.0
6,6,6,Các cam kết khác,,34.804.860,40.235.247,,,34804860.0,40235247.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,44,2.741.199,2.380.033,,44.0,2741199.0,2380033.0
8,8,8,Nợ khó đòi đã xử lý,45,73.691.635,67.581.815,,45.0,73691635.0,67581815.0
9,9,9,Tài sản và chứng từ khác,46,534.366.182,581.627.007,,46.0,534366182.0,581627007.0
