row_label_raw,row_label_full,Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Mối liên quan > Ngân hàng con,31/12/2024Triệu VNDPhải thu/(Phải trả),31/12/2023Triệu VND,numeric__Mối liên quan > Ngân hàng con,numeric__31/12/2024Triệu VNDPhải thu/(Phải trả),numeric__31/12/2023Triệu VND
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,(1.984),(51.856),,-1984.0,-51856.0
Phải trả Ngân hàng,Phải trả Ngân hàng,Phải trả Ngân hàng,,25.147,24.008,,25147.0,24008.0
"Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"")","Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"")","Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"")",Ngân hàng con,,,,,
Cho vay VCBNeo,"Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"") > Cho vay VCBNeo",Cho vay VCBNeo,,1.000.000,6.200.000,,1000000.0,6200000.0
Tiền gửi của VCBNeo tại Ngân hàng,"Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"") > Tiền gửi của VCBNeo tại Ngân hàng",Tiền gửi của VCBNeo tại Ngân hàng,,(310.936),(484.159),,-310936.0,-484159.0
