row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp (%),Giá gốc Triệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp (%),numeric__Giá gốc Triệu VND
Công ty TNHH Một thành viênCho thuê tài chính Vietcombank,Công ty TNHH Một thành viênCho thuê tài chính Vietcombank,Công ty TNHH Một thành viênCho thuê tài chính Vietcombank,Cho thuê tài chính,"100,0%",500.000,,1.0,500000.0
Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Chứng khoán,"100,0%",1.734.820,,1.0,1734820.0
Công ty TNHH Tài chính Việt Nam tại Hồng Kông,Công ty TNHH Tài chính Việt Nam tại Hồng Kông,Công ty TNHH Tài chính Việt Nam tại Hồng Kông,Dịch vụ tài chính,"100,0%",235.222,,1.0,235222.0
Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Cho thuê văn phòng,"70,0%",70.000,,0.7,70000.0
Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Chuyển tiền,"87,5%",204.978,,0.875,204978.0
Công ty TNHH Một thành viên Kiều hối Vietcombank,Công ty TNHH Một thành viên Kiều hối Vietcombank,Công ty TNHH Một thành viên Kiều hối Vietcombank,Chuyển tiền kiểu hối,"100,0%",30.000,,1.0,30000.0
Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Ngân hàng,"100,0%",1.820.400,,1.0,1820400.0
,,,,,4.595.420,,,4595420.0
