row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(trình bày lại),numeric__2024Triệu VND,numeric__2023Triệu VND(trình bày lại)
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",426.389,447.470,426389.0,447470.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,11.954.841,11.419.667,11954841.0,11419667.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Chi lương và phụ cấp (Thuyết minh 35),Trong đó: > - Chi lương và phụ cấp (Thuyết minh 35),- Chi lương và phụ cấp (Thuyết minh 35),10.750.563,10.276.601,10750563.0,10276601.0
- Các khoản chi đóng góp theo lương,Trong đó: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,857.656,814.042,857656.0,814042.0
- Chi trợ cấp,Trong đó: > - Chi trợ cấp,- Chi trợ cấp,4.348,4.005,4348.0,4005.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,3.469.745,3.500.987,3469745.0,3500987.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Khấu hao tài sản cố định,Trong đó: > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,1.028.405,1.198.692,1028405.0,1198692.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,5.751.065,5.129.745,5751065.0,5129745.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn(Thuyết minh 12(e))","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn(Thuyết minh 12(e))","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn(Thuyết minh 12(e))",994.202,880.912,994202.0,880912.0
Chỉ phí hoạt động khác,Trong đó: > Chỉ phí hoạt động khác,Chỉ phí hoạt động khác,(67.425),24.426,-67425.0,24426.0
,,,-,409,,409.0
,,,22.528.817,21.403.616,22528817.0,21403616.0
