row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(trình bày lại),numeric__2024Triệu VND,numeric__2023Triệu VND(trình bày lại)
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,19.221.243,16.272.722,19221243.0,16272722.0
Trích lập dự phòng trong năm (Thuyết minh 32),Trích lập dự phòng trong năm (Thuyết minh 32),Trích lập dự phòng trong năm (Thuyết minh 32),6.471.037,8.676.034,6471037.0,8676034.0
Xử lý các khoản cho vay khó thu hồi bằng nguồn dự phòng,Xử lý các khoản cho vay khó thu hồi bằng nguồn dự phòng,Xử lý các khoản cho vay khó thu hồi bằng nguồn dự phòng,(5.236.506),(5.729.160),-5236506.0,-5729160.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,2.781,1.647,2781.0,1647.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,20.458.555,19.221.243,20458555.0,19221243.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,
,,,31/12/2024Triệu VND,31/12/2023Triệu VND,,
Chứng khoán đầu tư sẵn sàng để bán (a),Chứng khoán đầu tư > Chứng khoán đầu tư sẵn sàng để bán (a),Chứng khoán đầu tư sẵn sàng để bán (a),86.799.901,67.882.480,86799901.0,67882480.0
Chứng khoán đầu tư giữ đến ngày đáo hạn (b),Chứng khoán đầu tư > Chứng khoán đầu tư giữ đến ngày đáo hạn (b),Chứng khoán đầu tư giữ đến ngày đáo hạn (b),79.347.336,77.897.587,79347336.0,77897587.0
,,,166.147.237,145.780.067,166147237.0,145780067.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,
,,,31/12/2024Triệu VND,31/12/2023Triệu VND,,
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,
Trái phiếu Chính phủ,Chứng khoán đầu tư sẵn sàng để bán > Trái phiếu Chính phủ,Trái phiếu Chính phủ,38.999.507,38.785.480,38999507.0,38785480.0
Chứng khoán nợ do các TCTD khác trong nước phát hành,Chứng khoán đầu tư sẵn sàng để bán > Chứng khoán nợ do các TCTD khác trong nước phát hành,Chứng khoán nợ do các TCTD khác trong nước phát hành,44.048.000,29.097.000,44048000.0,29097000.0
Chứng khoán nợ nước ngoài,Chứng khoán đầu tư sẵn sàng để bán > Chứng khoán nợ nước ngoài,Chứng khoán nợ nước ngoài,3.752.394,-,3752394.0,
,,,86.799.901,67.882.480,86799901.0,67882480.0
Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,-,-,,
Tổng chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán > Tổng chứng khoán đầu tư sẵn sàng để bán,Tổng chứng khoán đầu tư sẵn sàng để bán,86.799.901,67.882.480,86799901.0,67882480.0
