row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I,I,I,Tài sản,,,,,,,,,,,,,,,,,,,
I,I > I,I,"Tiền mặt, vàng bạc, đá quý",-,14.242.073,-,-,-,-,-,-,14.242.073,,,14242073.0,,,,,,,14242073.0
II,I > II,II,Tiền gửi tại NHNNVN,-,-,49.080.832,-,-,-,-,-,49.080.832,,,,49080832.0,,,,,,49080832.0
III,I > III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,371.112.227,21.880.981,374.325,1.986.770,-,-,395.354.303,,,,371112227.0,21880981.0,374325.0,1986770.0,,,395354303.0
IV,I > IV,IV,Chứng khoán kinh doanh – gộp,-,-,1.000.145,-,-,-,-,-,1.000.145,,,,1000145.0,,,,,,1000145.0
V,I > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,1.314.434,-,-,-,-,-,-,1.314.434,,,1314434.0,,,,,,,1314434.0
VI,I > VI,VI,Cho vay khách hàng – gộp,27.983.514,-,214.299.017,534.321.796,407.472.903,110.153.604,140.236.458,940.766,1.435.408.058,,27983514.0,,214299017.0,534321796.0,407472903.0,110153604.0,140236458.0,940766.0,1435408058.0
VII,I > VII,VII,Chứng khoán đầu tư – gộp,-,-,17.663.819,5.743.678,47.851.332,29.265.286,41.773.460,24.095.754,166.393.329,,,,17663819.0,5743678.0,47851332.0,29265286.0,41773460.0,24095754.0,166393329.0
VIII,I > VIII,VIII,"Gộp vốn, đầu tư dài hạn – gộp",-,6.680.967,-,-,-,-,-,-,6.680.967,,,6680967.0,,,,,,,6680967.0
IX,I > IX,IX,Tài sản cố định,-,7.886.828,-,-,-,-,-,-,7.886.828,,,7886828.0,,,,,,,7886828.0
X,I > X,X,Tài sản Có khác – gộp,-,30.799.813,-,-,-,-,-,-,30.799.813,,,30799813.0,,,,,,,30799813.0
,,,Tổng tài sản,27.983.514,60.924.115,653.156.040,561.946.455,455.698.560,141.405.660,182.009.918,25.036.520,2.108.160.782,,27983514.0,60924115.0,653156040.0,561946455.0,455698560.0,141405660.0,182009918.0,25036520.0,2108160782.0
I,I,I,Nợ phải trả,,,,,,,,,,,,,,,,,,,
I,I > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,247.674.440,55.783.793,511.367,2.159.850,-,-,306.129.450,,,,247674440.0,55783793.0,511367.0,2159850.0,,,306129450.0
II,I > II,II,Tiền gửi của khách hàng,-,-,758.465.100,292.473.627,210.645.900,249.355.198,4.618.119,-,1.515.557.944,,,,758465100.0,292473627.0,210645900.0,249355198.0,4618119.0,,1515557944.0
III,I > III,III,"Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,529,-,-,-,-,-,529,,,,529.0,,,,,,529.0
IV,I > IV,IV,Phát hành giấy tờ có giá,-,-,520.059,12.000.000,-,8.240.000,2.000.000,1.365.000,24.125.059,,,,520059.0,12000000.0,,8240000.0,2000000.0,1365000.0,24125059.0
V,I > V,V,Các khoản nợ phải trả khác,-,36.538.045,-,517.419,-,-,-,-,37.055.464,,,36538045.0,,517419.0,,,,,37055464.0
,,,Tổng nợ phải trả,-,36.538.045,1.006.660.128,360.774.839,211.157.267,259.755.048,6.618.119,1.365.000,1.882.868.446,,,36538045.0,1006660128.0,360774839.0,211157267.0,259755048.0,6618119.0,1365000.0,1882868446.0
,,,Mức chênh nhạy cảm với lãi suất nội bằng,27.983.514,24.386.070,(353.504.088),201.171.616,244.541.293,(118.349.388),175.391.799,23.671.520,225.292.336,,27983514.0,24386070.0,-353504088.0,201171616.0,244541293.0,-118349388.0,175391799.0,23671520.0,225292336.0
,,,Lũy kế chênh lệch nhạy cảm với lãi suất,27.983.514,52.369.584,(301.134.504),(99.962.888),144.578.405,26.229.017,201.620.816,225.292.336,,,27983514.0,52369584.0,-301134504.0,-99962888.0,144578405.0,26229017.0,201620816.0,225292336.0,
