row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền dẫnTriệu VND",Tài sảncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền dẫnTriệu VND",numeric__Tài sảncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),5.674.417,4.808.453,1.568.721,1.751.365,13.802.956,5674417.0,4808453.0,1568721.0,1751365.0,13802956.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,247.613,770.468,146.594,130.746,1.295.421,247613.0,770468.0,146594.0,130746.0,1295421.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,247.613,770.468,146.594,108.398,1.273.073,247613.0,770468.0,146594.0,108398.0,1273073.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,-,-,22.348,22.348,,,,22348.0,22348.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(112.830),(163.972),(35.993),(27.308),(340.103),-112830.0,-163972.0,-35993.0,-27308.0,-340103.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(9.069),(150.085),(30.483),(27.308),(216.945),-9069.0,-150085.0,-30483.0,-27308.0,-216945.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(103.761),(13.887),(5.510),-,(123.158),-103761.0,-13887.0,-5510.0,,-123158.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.809.200,5.414.949,1.679.322,1.854.803,14.758.274,5809200.0,5414949.0,1679322.0,1854803.0,14758274.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),1.856.999,4.402.910,962.868,1.533.850,8.756.627,1856999.0,4402910.0,962868.0,1533850.0,8756627.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,243.798,349.713,129.169,133.423,856.103,243798.0,349713.0,129169.0,133423.0,856103.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,243.798,349.713,125.812,128.755,848.078,243798.0,349713.0,125812.0,128755.0,848078.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,-,-,3.357,4.668,8.025,,,3357.0,4668.0,8025.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(1.934),(151.943),(30.662),(28.002),(212.541),-1934.0,-151943.0,-30662.0,-28002.0,-212541.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(1.458),(148.747),(30.662),(28.002),(208.869),-1458.0,-148747.0,-30662.0,-28002.0,-208869.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(476),(3.196),-,-,(3.672),-476.0,-3196.0,,,-3672.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.098.863,4.600.680,1.061.375,1.639.271,9.400.189,2098863.0,4600680.0,1061375.0,1639271.0,9400189.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),3.817.418,405.543,605.853,217.515,5.046.329,3817418.0,405543.0,605853.0,217515.0,5046329.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.710.337,814.269,617.947,215.532,5.358.085,3710337.0,814269.0,617947.0,215532.0,5358085.0
