row_label_raw,row_label_full,col_0,Công ty CP Năng lượng Hòa Phát VND,Công ty TNHH Chăn nuôi Lạc Thủy VND,Công ty TNHH Thương mại Dịch vụ Nhơn Trạch VND,Công ty CP Xây dựng Long Việt VND,Tổng cộng VND,numeric__Công ty CP Năng lượng Hòa Phát VND,numeric__Công ty TNHH Chăn nuôi Lạc Thủy VND,numeric__Công ty TNHH Thương mại Dịch vụ Nhơn Trạch VND,numeric__Công ty CP Xây dựng Long Việt VND,numeric__Tổng cộng VND
Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,,,,,
Số dư đầu năm,Giá gốc > Số dư đầu năm,Số dư đầu năm,206.244.396.684,4.367.130.430,195.950.665,-,210.807.477.779,206244396684.0,4367130430.0,195950665.0,,210807477779.0
Tăng trong năm,Giá gốc > Tăng trong năm,Tăng trong năm,-,-,-,59.880.000.000,59.880.000.000,,,,59880000000.0,59880000000.0
Số dư cuối năm,Giá gốc > Số dư cuối năm,Số dư cuối năm,206.244.396.684,4.367.130.430,195.950.665,59.880.000.000,270.687.477.779,206244396684.0,4367130430.0,195950665.0,59880000000.0,270687477779.0
Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,,,,,
Số dư đầu năm,Phân bổ lũy kế > Số dư đầu năm,Số dư đầu năm,156.402.000.822,-,-,-,156.402.000.822,156402000822.0,,,,156402000822.0
Phân bổ trong năm,Phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,20.624.439.672,436.713.048,-,4.990.000.000,26.051.152.720,20624439672.0,436713048.0,,4990000000.0,26051152720.0
Số dư cuối năm,Phân bổ lũy kế > Số dư cuối năm,Số dư cuối năm,177.026.440.494,436.713.048,-,4.990.000.000,182.453.153.542,177026440494.0,436713048.0,,4990000000.0,182453153542.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,,,,,
Số dư đầu năm,Giá trị ghi sổ > Số dư đầu năm,Số dư đầu năm,49.842.395.862,4.367.130.430,195.950.665,-,54.405.476.957,49842395862.0,4367130430.0,195950665.0,,54405476957.0
Số dư cuối năm,Giá trị ghi sổ > Số dư cuối năm,Số dư cuối năm,29.217.956.190,3.930.417.382,195.950.665,54.890.000.000,88.234.324.237,29217956190.0,3930417382.0,195950665.0,54890000000.0,88234324237.0
