row_label_raw,row_label_full,col_0,31/12/2018VND,31/12/2018VND_1,1/1/2018VND,1/1/2018VND_1,1/1/2018VND_2,1/1/2018VND_3,1/1/2018VND_4,numeric__31/12/2018VND,numeric__31/12/2018VND_1,numeric__1/1/2018VND,numeric__1/1/2018VND_1,numeric__1/1/2018VND_2,numeric__1/1/2018VND_3,numeric__1/1/2018VND_4
,,,Công cụ và dụng cụ,53.369.610.322,58.991.502.805,58.991.502.805,58.991.502.805,58.991.502.805,58.991.502.805,,53369610322.0,58991502805.0,58991502805.0,58991502805.0,58991502805.0,58991502805.0
"Chi phí bảo dưỡng, sửa chữa tài sản","Chi phí bảo dưỡng, sửa chữa tài sản","Chi phí bảo dưỡng, sửa chữa tài sản",39.975.823.527,15.363.790.386,15.363.790.386,15.363.790.386,15.363.790.386,15.363.790.386,15.363.790.386,39975823527.0,15363790386.0,15363790386.0,15363790386.0,15363790386.0,15363790386.0,15363790386.0
Chi phí khác,Chi phí khác,Chi phí khác,29.074.897.471,44.079.046.469,44.079.046.469,44.079.046.469,44.079.046.469,44.079.046.469,44.079.046.469,29074897471.0,44079046469.0,44079046469.0,44079046469.0,44079046469.0,44079046469.0,44079046469.0
,,,122.420.331.320,118.434.339.660,118.434.339.660,118.434.339.660,118.434.339.660,118.434.339.660,118.434.339.660,122420331320.0,118434339660.0,118434339660.0,118434339660.0,118434339660.0,118434339660.0,118434339660.0
16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,16.2 Chi phí trả trước dài hạn,,,,,,,
,,,Công cụ và dụng cụVND,"Chi phí đại tu, sửa chữa lớnVND",Chi phí đất trả trướcVND,Chi phí giải phóng mặt bằngVND,Chi phí liên quan đến khoản vayVND,Chi phí trả trước khácVND,Tổng cộngVND,,,,,,,
Số dư đầu năm,16.2 Chi phí trả trước dài hạn > Số dư đầu năm,Số dư đầu năm,86.978.996.499,26.730.586.939,526.451.813.217,71.352.248.193,-,120.950.508.366,832.464.153.214,86978996499.0,26730586939.0,526451813217.0,71352248193.0,,120950508366.0,832464153214.0
Tăng trong năm,16.2 Chi phí trả trước dài hạn > Tăng trong năm,Tăng trong năm,74.922.713.551,586.880.224.126,4.181.129.000,124.618.000,85.853.157.895,116.182.069.061,868.143.911.633,74922713551.0,586880224126.0,4181129000.0,124618000.0,85853157895.0,116182069061.0,868143911633.0
Tăng do mua công ty con,16.2 Chi phí trả trước dài hạn > Tăng do mua công ty con,Tăng do mua công ty con,2.941.901.472,-,-,-,-,-,2.941.901.472,2941901472.0,,,,,,2941901472.0
Chuyên từ xây dựng cơ bản dở dang,16.2 Chi phí trả trước dài hạn > Chuyên từ xây dựng cơ bản dở dang,Chuyên từ xây dựng cơ bản dở dang,4.994.514.466,7.908.000.020,-,6.313.421.579,-,26.351.928.797,45.567.864.862,4994514466.0,7908000020.0,,6313421579.0,,26351928797.0,45567864862.0
Chuyên từ tài sản cố định hữu hình,16.2 Chi phí trả trước dài hạn > Chuyên từ tài sản cố định hữu hình,Chuyên từ tài sản cố định hữu hình,50.774.195,-,-,-,-,634.387.608,685.161.803,50774195.0,,,,,634387608.0,685161803.0
Thanh lý,16.2 Chi phí trả trước dài hạn > Thanh lý,Thanh lý,(60.865.005),-,(2.907.011.094),-,-,(556.373.000),(3.524.249.099),-60865005.0,,-2907011094.0,,,-556373000.0,-3524249099.0
Phân bổ trong năm,16.2 Chi phí trả trước dài hạn > Phân bổ trong năm,Phân bổ trong năm,(84.239.321.159),(150.666.182.317),(11.275.733.882),(5.367.051.463),(3.877.239.389),(29.174.060.578),(284.599.588.788),-84239321159.0,-150666182317.0,-11275733882.0,-5367051463.0,-3877239389.0,-29174060578.0,-284599588788.0
Phân loại lại,16.2 Chi phí trả trước dài hạn > Phân loại lại,Phân loại lại,(222.479.100),(44.619.812),2.250.501.011,1.869.545.598,-,(4.220.234.359),(367.286.662),-222479100.0,-44619812.0,2250501011.0,1869545598.0,,-4220234359.0,-367286662.0
Số dư cuối năm,16.2 Chi phí trả trước dài hạn > Số dư cuối năm,Số dư cuối năm,85.366.234.919,470.808.008.956,518.700.698.252,74.292.781.907,81.975.918.506,230.168.225.895,1.461.311.868.435,85366234919.0,470808008956.0,518700698252.0,74292781907.0,81975918506.0,230168225895.0,1461311868435.0
