row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sân khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sân khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,206.055.346.072,17.837.108.161,1.500.909.664,225.393.363.897,206055346072.0,17837108161.0,1500909664.0,225393363897.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,9.586.790.627,14.822.877.700,-,24.409.668.327,9586790627.0,14822877700.0,,24409668327.0
Tăng do mua công ty con Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Tăng do mua công ty con Chuyển từ xây dựng cơ bản dở dang,Tăng do mua công ty con Chuyển từ xây dựng cơ bản dở dang,-,281.801.460,-,281.801.460,,281801460.0,,281801460.0
Tăng do mua công ty con Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Tăng do mua công ty con Chuyển từ xây dựng cơ bản dở dang,Tăng do mua công ty con Chuyển từ xây dựng cơ bản dở dang,14.788.122.400,3.718.856.786,-,18.506.979.186,14788122400.0,3718856786.0,,18506979186.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,-,(200.000.000),-,(200.000.000),,-200000000.0,,-200000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,230.430.259.099,36.460.644.107,1.500.909.664,268.391.812.870,230430259099.0,36460644107.0,1500909664.0,268391812870.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,31.726.235.517,6.628.657.477,1.500.909.664,39.855.802.658,31726235517.0,6628657477.0,1500909664.0,39855802658.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.577.563.421,7.636.779.391,-,11.214.342.812,3577563421.0,7636779391.0,,11214342812.0
Tăng do mua công ty con Thanh lý và xóa số,Giá trị hao mòn lũy kế > Tăng do mua công ty con Thanh lý và xóa số,Tăng do mua công ty con Thanh lý và xóa số,-,186.100.060,-,186.100.060,,186100060.0,,186100060.0
Tăng do mua công ty con Thanh lý và xóa số,Giá trị hao mòn lũy kế > Tăng do mua công ty con Thanh lý và xóa số,Tăng do mua công ty con Thanh lý và xóa số,-,(61.527.782),-,(61.527.782),,-61527782.0,,-61527782.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,35.303.798.938,14.390.009.146,1.500.909.664,51.194.717.748,35303798938.0,14390009146.0,1500909664.0,51194717748.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,174.329.110.555,11.208.450.684,-,185.537.561.239,174329110555.0,11208450684.0,,185537561239.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,195.126.460.161,22.070.634.961,-,217.197.095.122,195126460161.0,22070634961.0,,217197095122.0
