row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cổ định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cổ định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.866.916.317.804,15.336.909.018.759,782.367.752.616,50.741.795.948,203.095.968.862,4.495.873.223,21.244.526.727.212,4866916317804.0,15336909018759.0,782367752616.0,50741795948.0,203095968862.0,4495873223.0,21244526727212.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,9.533.944.828,143.135.951.916,116.762.038.538,19.603.456.935,-,-,289.035.392.217,9533944828.0,143135951916.0,116762038538.0,19603456935.0,,,289035392217.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,378.063.361,74.091.489.107,6.031.685.456,330.653.636,-,211.589.297,81.043.480.857,378063361.0,74091489107.0,6031685456.0,330653636.0,,211589297.0,81043480857.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,616.853.312.422,782.683.062.839,50.790.199.627,3.209.274.424,81.690.718.729,373.000.001,1.535.599.568.042,616853312422.0,782683062839.0,50790199627.0,3209274424.0,81690718729.0,373000001.0,1535599568042.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(694.387.608),-,-,-,-,(694.387.608),,-694387608.0,,,,,-694387608.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(12.732.198.621),(118.586.765.084),(24.349.987.364),(427.494.817),-,-,(156.096.445.886),-12732198621.0,-118586765084.0,-24349987364.0,-427494817.0,,,-156096445886.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(37.743.768.245),32.810.391.728,5.254.650.958,(416.728.986),-,95.454.545,-,-37743768245.0,32810391728.0,5254650958.0,-416728986.0,,95454545.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(149.177.510),(469.787.570),(131.422.909),-,-,-,(750.387.989),-149177510.0,-469787570.0,-131422909.0,,,,-750387989.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.443.056.494.039,16.249.878.974.087,936.724.916.922,73.040.957.140,284.786.687.591,5.175.917.066,22.992.663.946.845,5443056494039.0,16249878974087.0,936724916922.0,73040957140.0,284786687591.0,5175917066.0,22992663946845.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.372.244.959.356,6.472.001.153.397,325.972.273.024,29.009.175.918,32.297.649.932,742.381.473,8.232.267.593.100,1372244959356.0,6472001153397.0,325972273024.0,29009175918.0,32297649932.0,742381473.0,8232267593100.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,377.351.195.581,1.649.090.752.098,119.501.186.848,10.917.405.163,69.618.289.692,576.335.647,2.227.055.165.029,377351195581.0,1649090752098.0,119501186848.0,10917405163.0,69618289692.0,576335647.0,2227055165029.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,258.343.296,53.749.391.123,4.656.382.104,266.056.817,-,145.523.108,59.075.696.448,258343296.0,53749391123.0,4656382104.0,266056817.0,,145523108.0,59075696448.0
