row_label_raw,row_label_full,Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > - Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,31/12/2018 > Giá trị ghi số Triệu VND > 3.724.563 > 65.885,31/12/2018 > Giá trị hợp lý Triệu VND > 3.724.563 > (*),1/1/2018 > Giá trị ghi số Triệu VND > 9.936.707 > 1.252,1/1/2018 > Giá trị hợp lý Triệu VND > 9.936.707 > (*),numeric__31/12/2018 > Giá trị ghi số Triệu VND > 3.724.563 > 65.885,numeric__31/12/2018 > Giá trị hợp lý Triệu VND > 3.724.563 > (*),numeric__1/1/2018 > Giá trị ghi số Triệu VND > 9.936.707 > 1.252,numeric__1/1/2018 > Giá trị hợp lý Triệu VND > 9.936.707 > (*)
Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,,,,,,,,
- Tiền và các khoản tương đương tiền,Dược phân loại là các khoản cho vay và phải thu: > - Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,2.515.617,2.515.617,4.264.642,4.264.642,2515617.0,2515617.0,4264642.0,4264642.0
- Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,- Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,2.386.996,3.091.875,2.546.754,2.546.754,2386996.0,3091875.0,2546754.0,2546754.0
- Phải thu dài hạn khác,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu dài hạn khác,- Phải thu dài hạn khác,22.302,(*),21.811,(*),22302.0,,21811.0,
Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,,,,,,,,
- Các khoản đầu tư vào công cụ vốn chủ sở hữu,Dược phân loại là tài sản tài chính sẵn sàng để bán: > - Các khoản đầu tư vào công cụ vốn chủ sở hữu,- Các khoản đầu tư vào công cụ vốn chủ sở hữu,700,(*),15.700,(*),700.0,,15700.0,
Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,,,,,
- Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,- Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,(9.213.056),(9.213.056),(4.957.325),(4.957.325),-9213056.0,-9213056.0,-4957325.0,-4957325.0
"- Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác","Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác","- Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác",(1.658.952),(*),(9.011),(*),-1658952.0,,-9011.0,
- Các khoản vay,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản vay,- Các khoản vay,(24.305.714),(24.298.044),(12.980.013),(12.931.447),-24305714.0,-24298044.0,-12980013.0,-12931447.0
,,,(26.461.659),,(1.159.483),,-26461659.0,,-1159483.0,
