row_label_raw,row_label_full,STT,Công ty con cấp 3,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 3,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 3,Hoạt động chính,31/12/2018,1/1/2018,31/12/2018,1/1/2018,,,,,,
9,STT > 9,9,Công ty TNHH MTV Chăn nuôi Hòa Yên,"Chăn nuôi lợn, chăn nuôi khác.",100%,100%,"99,974%","99,974%",,,1.0,1.0,0.9997400000000001,0.9997400000000001
10,STT > 10,10,Công ty TNHH MTV Chăn nuôi Hòa Phát Bắc Giang,"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,974%","99,974%",,,1.0,1.0,0.9997400000000001,0.9997400000000001
11,STT > 11,11,Công ty TNHH MTV Chăn nuôi Hòa Phát Lạng Sơn,"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,974%","99,974%",,,1.0,1.0,0.9997400000000001,0.9997400000000001
12,STT > 12,12,Công ty TNHH Chăn nuôi Hòa Phước,Chăn nuôi heo giống và heo thịt.,"99,998%","99,998%","99,972%","99,972%",,,0.9999800000000001,0.9999800000000001,0.9997199999999999,0.9997199999999999
,,,Công ty con của Công ty TNHH Gia cầm Hòa Phát(truốc đây là Công ty TNHH MTV Gia cầm Hòa Phát),Công ty con của Công ty TNHH Gia cầm Hòa Phát(truốc đây là Công ty TNHH MTV Gia cầm Hòa Phát),Công ty con của Công ty TNHH Gia cầm Hòa Phát(truốc đây là Công ty TNHH MTV Gia cầm Hòa Phát),Công ty con của Công ty TNHH Gia cầm Hòa Phát(truốc đây là Công ty TNHH MTV Gia cầm Hòa Phát),Công ty con của Công ty TNHH Gia cầm Hòa Phát(truốc đây là Công ty TNHH MTV Gia cầm Hòa Phát),Công ty con của Công ty TNHH Gia cầm Hòa Phát(truốc đây là Công ty TNHH MTV Gia cầm Hòa Phát),,,,,,
13,STT > 13,13,Công ty TNHH MTV Gia cầm Hòa Phát Phú Thọ,"Chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,999%","99,999%",,,1.0,1.0,0.9999899999999999,0.9999899999999999
14,STT > 14,14,Công ty TNHH MTV Gia cầm Hòa Phát Đồng Nai,"Chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,999%","99,999%",,,1.0,1.0,0.9999899999999999,0.9999899999999999
15,STT > 15,15,Công ty TNHH MTV Chăn nuôi Vạn Thắng,"Chăn nuôi gia súc, gia cầm; hoạt động dịch vụ trồng trọt.",100%,100%,"99,999%","99,999%",,,1.0,1.0,0.9999899999999999,0.9999899999999999
(i),(i),(i),Đây là các công ty con cấp 2 mới thành lập trong năm.,Đây là các công ty con cấp 2 mới thành lập trong năm.,Đây là các công ty con cấp 2 mới thành lập trong năm.,Đây là các công ty con cấp 2 mới thành lập trong năm.,Đây là các công ty con cấp 2 mới thành lập trong năm.,Đây là các công ty con cấp 2 mới thành lập trong năm.,,,,,,
(ii),(ii),(ii),Đây là công ty con cấp 2 được mua mới trong năm.,Đây là công ty con cấp 2 được mua mới trong năm.,Đây là công ty con cấp 2 được mua mới trong năm.,Đây là công ty con cấp 2 được mua mới trong năm.,Đây là công ty con cấp 2 được mua mới trong năm.,Đây là công ty con cấp 2 được mua mới trong năm.,,,,,,
(iii),(iii),(iii),Đây là công ty con cấp 2 đã giải thể trong năm.,Đây là công ty con cấp 2 đã giải thể trong năm.,Đây là công ty con cấp 2 đã giải thể trong năm.,Đây là công ty con cấp 2 đã giải thể trong năm.,Đây là công ty con cấp 2 đã giải thể trong năm.,Đây là công ty con cấp 2 đã giải thể trong năm.,,,,,,
(iv),(iv),(iv),Đây là công ty con cấp 3 được Công ty TNHH Thương mại Hòa Phát chuyển nhượng cho một bên thứ ba.,Đây là công ty con cấp 3 được Công ty TNHH Thương mại Hòa Phát chuyển nhượng cho một bên thứ ba.,Đây là công ty con cấp 3 được Công ty TNHH Thương mại Hòa Phát chuyển nhượng cho một bên thứ ba.,Đây là công ty con cấp 3 được Công ty TNHH Thương mại Hòa Phát chuyển nhượng cho một bên thứ ba.,Đây là công ty con cấp 3 được Công ty TNHH Thương mại Hòa Phát chuyển nhượng cho một bên thứ ba.,Đây là công ty con cấp 3 được Công ty TNHH Thương mại Hòa Phát chuyển nhượng cho một bên thứ ba.,,,,,,
"Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.","Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.","Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.","Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.","Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.","Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.","Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.","Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.","Các công ty con của Tập đoàn đều được thành lập tại Việt Nam, trừ Hoa Phát Trading International Pte Ltd., được thành lập tại Singapore.",,,,,,
