row_label_raw,row_label_full,STT,Công ty con cấp 2,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 2,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 1_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 2,Hoạt động chính,31/12/2018,1/1/2018,31/12/2018,1/1/2018,,,,,,
,,,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,,,,,,
1,STT > 1,1,Công ty TNHH MTV Bình Vàng,"Khai thác quặng sắt, khai thác kim loại khác không chứa sắt, sản xuất kim loại màu và kim loại quý, khai thác quãng kim loại quý hiểm.",100%,100%,"99,96%","99,96%",,,1.0,1.0,0.9995999999999999,0.9995999999999999
2,STT > 2,2,Công ty CP Khoáng sản Hòa Phát Mitraco,"Khai thác và sản xuất quặng sắt, bổ xít và các kim loại quý hiểm; bán buôn kim loại và quãng kim loại.","98,42%","98,42%","98,38%","98,38%",,,0.9842,0.9842,0.9838,0.9838
,,,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,,,,,,
3,STT > 3,3,Công ty CP Năng lượng Hòa Phát,"Sản xuất và bán buôn than cổc, khai thác và thu gom than cứng; sản xuất sản phẩm dầu mỏ tinh chế; bán buôn kim loại và quãng kim loại; và buôn bán than luyện cổc và than các loại.","99,89%","99,89%","99,89%","99,89%",,,0.9989,0.9989,0.9989,0.9989
,,,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,,,,,,
4,STT > 4,4,Công ty CP Hợp kim sắt Hòa Phát Dung Quất,"Sản xuất sắt, thép, gang.","89,99%","89,99%","89,99%","89,99%",,,0.8998999999999999,0.8998999999999999,0.8998999999999999,0.8998999999999999
5,STT > 5,5,Công ty CP Ông thép Hòa Phát Dung Quất,"Sản xuất sắt, thép, gang.","89,99%","89,99%","89,99%","89,99%",,,0.8998999999999999,0.8998999999999999,0.8998999999999999,0.8998999999999999
6,STT > 6,6,Công ty CP Tôn Hòa Phát Dung Quất,"Sản xuất sắt, thép, gang.","89,99%","89,99%","89,99%","89,99%",,,0.8998999999999999,0.8998999999999999,0.8998999999999999,0.8998999999999999
7,STT > 7,7,"Hoa Phat Trading International Pte Ltd., (i)","Kinh doanh thương mại sắt, thép, gang.",100%,-,"99,999%",-,,,1.0,,0.9999899999999999,
8,STT > 8,8,Công ty CP Cảng Tổng hợp Hòa Phát (i),Dịch vụ hỗ trợ trực tiếp cho vận tải đường thủy.,98%,-,"99,999%",-,,,0.98,,0.9999899999999999,
,,,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,,,,,,
9,STT > 9,9,Công ty TNHH MTV Hòa Phát Bình Định,"Sản xuất sắt, thép, gang; bán buôn kim loại và quãng kim loại.",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
