row_label_raw,row_label_full,col_0,Giá trị ghi số và giá trị hợp lý tại thời điểm mua VND,numeric__Giá trị ghi số và giá trị hợp lý tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.812.139.196,3812139196.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,189.330.658.235,189330658235.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,161.342.366.766,161342366766.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.089.100.366,1089100366.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,22.063.485.809,22063485809.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,2.941.901.472,2941901472.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(314.156.621.543),-314156621543.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(6.423.030.301),-6423030301.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,60.000.000.000,60000000000.0
Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,59.880.000.000,59880000000.0
Lợi thế thương mại phát sinh từ việc mua công ty con,Lợi thế thương mại phát sinh từ việc mua công ty con,Lợi thế thương mại phát sinh từ việc mua công ty con,59.880.000.000,59880000000.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,119.760.000.000,119760000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,(3.812.139.196),-3812139196.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,115.947.860.804,115947860804.0
