row_label_raw,row_label_full,5.24 Chi phí tài chính,5.24 Chi phí tài chính_1,5.24 Chi phí tài chính_2,numeric__5.24 Chi phí tài chính_1,numeric__5.24 Chi phí tài chính_2
,,,Năm 2016 VND,Năm 2015 VND,,
Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,47.576.819.248,24.302.066.171,47576819248.0,24302066171.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,-,215.146.298,,215146298.0
Chi phí chiết khấu thanh toán,Chi phí chiết khấu thanh toán,Chi phí chiết khấu thanh toán,13.413.100.000,-,13413100000.0,
Tổng,Tổng,Tổng,60.989.919.248,24.517.212.469,60989919248.0,24517212469.0
